Punjab Assembly ,Name of Candidate,"Number of Votes Polled
","Party Affiliation
","Symbol Allocated
",Total Constituency Voters,Total Male,Total Female,Casted Votes,Casted Male,Female Vote Polled,Rejected Votes,Turnout %
PP-17,Zahid Sagheer Ahmed,136,IND,#REF!,,,,,,,,
PP-17,Yasir Qadoos,112,PNP,#REF!,,,,,,,,
PP-17,Raja Nazakat Hussain,103,IND,#REF!,,,,,,,,
PP-17,Ijaz Mahmood Abbasi,83,IND,#REF!,,,,,,,,
PP-17,Sohail Ahmed,82,IND,#REF!,,,,,,,,
PP-17,Raja Nasir Mehfooz,56,IND,#REF!,,,,,,,,
PP-17,Syed Saeed Ul Hassan,41,IND,#REF!,,,,,,,,
PP-17,Chaudhry muhammad Saleem,38,IND,#REF!,,,,,,,,
PP-17,Sajjad Haider,37,IND,#REF!,,,,,,,,
PP-17,Fazal Manan,27,IND,#REF!,,,,,,,,
PP-17,Talha Afrasiyab Raja,24,IND,#REF!,,,,,,,,
PP-17,Dabeer Ahmed Khan,23,IND,#REF!,,,,,,,,
PP-17,Muhammad Asghar,20,IND,#REF!,,,,,,,,
PP-17,Amir Afridi,20,IND,#REF!,,,,,,,,
PP-17,Chaudhry Imtiaz Ahmed,13,IND,#REF!,,,,,,,,
PP-17,Syed Abdul Manan,13,PNAP,#REF!,,,,,,,,
PP-17,Tahir Mehmood,12,IND,#REF!,,,,,,,,
PP-17,Muhammad Anees adnan,-,IND,#REF!,,,,,,,,
PP-18,Asad Abbas,46295,IND-PTI,STUDY TABLE WITH CHAIR,,,,,,,,
PP-18,Sajjad Khan,30640,PML-N,#REF!,,,,,,,,
PP-18,Imran Khan,5601,JIP,#REF!,,,,,,,,
PP-18,Chaudhry Safdar Hussain Sahi,4784,TLP,#REF!,,,,,,,,
PP-18,Shahid Mahmood Raja,3206,PPP,#REF!,,,,,,,,
PP-18,Alhaji Azhar Abbas Sati,3028,IND,#REF!,,,,,,,,
PP-18,Kashif Hussain,1571,AML,#REF!,,,,,,,,
PP-18,Musrat Iqbal Abbasi,1205,JUIF,#REF!,,,,,,,,
