Punjab Assembly ,Name of Candidate,"Number of Votes Polled
","Party Affiliation
","Symbol Allocated
",Total Constituency Voters,Total Male,Total Female,Casted Votes,Casted Male,Female Vote Polled,Rejected Votes,Turnout %
PP-47,Muhammad Ejaz Anjum,294,JUI-N,,,,,,,,,
PP-47,Malik Muhammad ilyaz,279,IND,,,,,,,,,
PP-47,Muhammad Imran,182,MQM-P,,,,,,,,,
PP-47,Sulman Islam,77,IND,,,,,,,,,
PP-47,Muhammad amjad abbas,73,IND,,,,,,,,,
PP-47,Abdul basit,64,IND,,,,,,,,,
PP-47,Muhammad Shakeel,62,IND,,,,,,,,,
PP-47,Abdul Jabbar,55,IND,,,,,,,,,
PP-47,Maqsood Ahmed,-,IND,,,,,,,,,
PP-48,Khurram Khan Virk,47340,IND,,,,,,,,,
PP-48,Liaqat Ali,41657,PML-N,Tiger(284),,,,,,,,
PP-48,Ahsan Abbas,38259,IND-PTI,SICKLE,,,,,,,,
PP-48,Muhammad Sajjad,14487,TLP,Crane(71),,,,,,,,
PP-48,Shahid Iqbal,3887,IND,,,,,,,,,
PP-48,Maqbool Hussain,1410,MML,,,,,,,,,
PP-48,Muhammad Arshad,773,JIP,,,,,,,,,
PP-48,Ghulam Mustafa,670,PPP,Arrow(12),,,,,,,,
PP-48,Allah Ditta,285,PAT,,,,,,,,,
PP-48,Rizwan Nazir,253,IND,,,,,,,,,
PP-48,Hassan Abbas,188,IND,,,,,,,,,
PP-48,Tanveer Ul Islam,172,IND,,,,,,,,,
PP-48,Chaudhry Amjad Ali Bajwa,131,IND,,,,,,,,,
PP-48,Maqbool Ahmed,95,IND,,,,,,,,,
PP-48,Shafqat Ali,58,IND,,,,,,,,,
PP-48,Ghulam Abbas,50,IND,,,,,,,,,
PP-48,Asif Ali Bajwa,38,IND,,,,,,,,,
PP-48,Abdul Qadeer,34,IND,,,,,,,,,
PP-48,Mirza Altaf Hussain,27,IND,,,,,,,,,
PP-48,Muhammad Hamza Altaf,22,IND,,,,,,,,,
PP-48,Alyas ul Rehman Bajwa,20,IND,,,,,,,,,
PP-48,Abdul Qayyum,18,IND,,,,,,,,,
PP-48,Saif Ali Khan,18,IND,,,,,,,,,
PP-48,Irfan Salamat Ali Bajwa,17,IND,,,,,,,,,
PP-48,Hamid Ahmed,17,IND,,,,,,,,,
PP-48,Muhammad Asif Bajwa,15,IND,,,,,,,,,
PP-48,Amir Khalid,13,IND,,,,,,,,,
PP-48,Syed ali najm Gillani,12,IND,,,,,,,,,
PP-48,Chaudary Khadam Hussain,11,IND,,,,,,,,,
PP-48,Muhammad Akram,6,IND,,,,,,,,,
PP-48,Zaheer Abbas,4,IND,,,,,,,,,
PP-49,Muhammad Fiaz,48219,IND,,,,,,,,,
PP-49,Rana Muhammad Afzal,40525,PML-N,Tiger(284),,,,,,,,
PP-49,Munawar Ahmed Gill,27882,IND-PTI,POMEGRANATE,,,,,,,,
PP-49,Muhammad Usama Rana,12439,TLP,Crane(71),,,,,,,,
PP-49,Ghazanfar Sohail,3567,IND,,,,,,,,,
PP-49,Muhammad Riaz,1689,IND,,,,,,,,,
PP-49,Abdul Rehman Bin Alam,1027,MML,,,,,,,,,
PP-49,Saif Ali Khan,920,IND,,,,,,,,,
PP-49,Muhammad Yousaf Jajja,860,JIP,,,,,,,,,
PP-49,Aslam Nadaar Sulehri,586,PPP,Arrow(12),,,,,,,,
PP-49,Chaudhry Amjad Ali Bajwa,265,IND,,,,,,,,,
PP-49,Haider Ali Gill,188,IND,,,,,,,,,
PP-49,Irfan Salamat Ali Bajwa,150,IND,,,,,,,,,
PP-49,Amjad Ali,149,IND,,,,,,,,,
PP-49,Tanveer Ul Islam,142,IND,,,,,,,,,
PP-49,Nasir Ali gill,139,IND,,,,,,,,,
PP-49,Malik Javaid Babar,133,PML,,,,,,,,,
PP-49,Muhammad Saad Khan Gill,105,IND,,,,,,,,,
PP-49,Muhammad Asif Bajwa,100,IND,,,,,,,,,
PP-49,Amir Khalid,96,IND,,,,,,,,,
PP-49,Khalid Masood Chaudhry,79,IND,,,,,,,,,
PP-49,Ghulam Abbas,76,IND,,,,,,,,,
PP-49,Abdul Qadeer,75,IND,,,,,,,,,
PP-49,Hassan Abbas,74,IND,,,,,,,,,
PP-49,Ahsan Abbas,74,IND,,,,,,,,,
PP-49,Muhammad Tayyab Aqeel,68,IND,,,,,,,,,
PP-49,Sarfraz Ahmed Gill,67,IND,,,,,,,,,
PP-49,Abdul Qayyum,36,IND,,,,,,,,,
PP-49,Intezar Ahmed,32,PRP,,,,,,,,,
PP-49,Naeem Nawaz Gill,29,IND,,,,,,,,,
PP-49,Mazhar Majeed,29,IND,,,,,,,,,
PP-49,Maqbool Ahmed,22,IND,,,,,,,,,
PP-49,Syed Khawar Abbas,22,IND,,,,,,,,,
PP-49,Muddassar Ahmed,19,IND,,,,,,,,,
PP-50,Chaudhry Naveed Ashraf,45627,PML-N,Tiger(284),,,,,,,,
PP-50,Amaan Ullah,43971,IND-PTI,PINEAPPLE,,,,,,,,
PP-50,Muhammad Shahbaz,12250,TLP,Crane(71),,,,,,,,
PP-50,Muhammad Hafeez,11205,IND,,,,,,,,,
PP-50,Waqas iftikhar,5055,IND,,,,,,,,,
PP-50,Toheed Khalid,3436,IND,,,,,,,,,
PP-50,Farooq Ashraf,1476,PPP,Arrow(12),,,,,,,,
PP-50,Sajjad Hussain,1284,MML,,,,,,,,,
PP-50,Ghulam Nabi,790,IND,,,,,,,,,
PP-50,Zulfiqar Ahmed,511,JIP,,,,,,,,,
PP-50,Ahmed Nawaz,470,IND,,,,,,,,,
PP-50,Syed Shah Faisal,324,IND,,,,,,,,,
PP-50,Malik Jamil akhtar,152,IND,,,,,,,,,
PP-50,Abid Aziz,141,PAT,,,,,,,,,
PP-50,Muhammad Rizwan,104,IND,,,,,,,,,
PP-50,Shaukat Ali,97,IND,,,,,,,,,
PP-50,iftikhar Ahmed,95,IND,,,,,,,,,
PP-50,Asif Bajwa,92,IND,,,,,,,,,
PP-50,Mansoor Akhtar,82,IND,,,,,,,,,
PP-50,Shahid Mahmood Butt,77,IND,,,,,,,,,
PP-50,Muhammad Kashif,73,IND,,,,,,,,,
PP-50,Ansar Waqas,60,IND,,,,,,,,,
PP-50,Abdul waheed Meo,54,IND,,,,,,,,,
PP-50,Iftikhar Ali,53,IND,,,,,,,,,
PP-50,Shehryar Shahzad Ghuman,39,IND,,,,,,,,,
PP-50,Gulbaz Mushtaq,36,IND,,,,,,,,,
PP-50,Ghulam Dastageer,32,IND,,,,,,,,,
PP-50,Mohsin Kramat Ullah Khan,25,IND,,,,,,,,,
PP-50,Muhammad Nawaz,25,IND,,,,,,,,,
PP-50,Muhammad Iqbal,18,IND,,,,,,,,,
PP-50,Riaz Ahmed Mughal,17,IND,,,,,,,,,
PP-50,Omer Shahzad Ghuman,9,IND,,,,,,,,,
PP-51,Zeeshan Rafique,49538,PML-N,Tiger(284),,,,,,,,
PP-51,Waqas iftkhar,46905,IND-PTI,HEN,,,,,,,,
PP-51,Muhammad Afzal,13243,IND,,,,,,,,,
PP-51,Usman Ashraf,9598,TLP,Crane(71),,,,,,,,
PP-51,Chaudhry Muhammad Ashraf,1622,JIP,,,,,,,,,
PP-51,Imran Khan,1564,PPP,Arrow(12),,,,,,,,
PP-51,Shahid Mahmood Sahi,945,MML,,,,,,,,,
PP-51,Sadaqat Ali Cheema,598,IND,,,,,,,,,
PP-51,Muhammad Shahid,388,IND,,,,,,,,,
PP-51,Muhammad Ashraf,351,IND,,,,,,,,,
PP-51,Ali Hassan,301,IND,,,,,,,,,
PP-51,Sami Ullah Malhi,242,IND,,,,,,,,,
PP-51,Syed Hasnat Ul Hassan,238,IND,,,,,,,,,
PP-51,Muhammad Kaleem,225,PAT,,,,,,,,,
PP-51,Tasawar Abbas,171,PTI-N,,,,,,,,,
PP-51,Faizan Ashraf,117,IND,,,,,,,,,
PP-51,Hassan Shahid,115,IND,,,,,,,,,
PP-51,Tahir Rauf,100,IND,,,,,,,,,
PP-51,Mirza Shahid Siddique,98,PML,,,,,,,,,
PP-51,Muhammad Asif Bajwa,93,IND,,,,,,,,,
PP-51,iftikhar Ahmed,82,IND,,,,,,,,,
PP-51,Muhammad Shafiq Mansha,79,IND,,,,,,,,,
PP-51,Muhammad Amjad,69,IND,,,,,,,,,
PP-51,Chaudhry Mumtaz Ali,55,IND,,,,,,,,,
PP-51,Amaan Ullah,54,IND,,,,,,,,,
PP-51,Zia Hayee,47,IND,,,,,,,,,
PP-51,Khawaja Atif Raza,40,IND,,,,,,,,,
PP-51,Muhammad Adeel,39,IND,,,,,,,,,
PP-51,Fahad Sajjad,33,IND,,,,,,,,,
PP-51,Hassan Pervaiz,23,IND,,,,,,,,,
PP-51,Waqas iftikhar,-,IND,,,,,,,,,
PP-52,Chaudhry Arshad Javed Warraich,58385,PML-N,Tiger(284),,,,,,,,
PP-52,Fakhar Nishat Ghuman,49850,IND-PTI,TROWEL,,,,,,,,
PP-52,Muhammad Shafaqat,11674,TLP,Crane(71),,,,,,,,
PP-52,Omer Shehzad Ghuman,4340,IND,,,,,,,,,
PP-52,Fayyaz Iqbal Cheema,2675,IND,,,,,,,,,
PP-52,Muhammad Shafiq,2508,JIP,,,,,,,,,
PP-52,Zain Hassan,1889,PPP,Arrow(12),,,,,,,,
PP-52,Muhammad Adnan,1663,MML,,,,,,,,,
PP-52,Nafees Ahmed Khan,1121,IND,,,,,,,,,
PP-52,Muhammad Saleem Meer,737,PAT,,,,,,,,,
PP-52,Talat Rasheed,620,IND,,,,,,,,,
PP-52,Omer Javaid Ghuman,510,IND,,,,,,,,,
PP-52,Chaudhary Muhammad Azeem Ghumman,505,IND-PTI,,,,,,,,,
PP-52,Hassan Touqeer Cheema,455,PNP,,,,,,,,,
PP-52,Ammad Aslam,409,IND,,,,,,,,,
PP-52,Bilal Hussain,312,IND,,,,,,,,,
PP-52,Omer Ehsaan Ghuman,244,IND,,,,,,,,,
PP-52,Kishwar Sultana,202,IND,,,,,,,,,
PP-52,Waseem Akram,127,IND,,,,,,,,,
PP-52,Zahid Wakeel,104,IND,,,,,,,,,
PP-52,Zubair Aslam,75,IND,,,,,,,,,
PP-52,Adrees Ahmed cheema,73,IND,,,,,,,,,
PP-52,Nasir Mahmood Cheema,46,IND,,,,,,,,,
PP-52,Zulfiqar Aslam Cheema,43,IND,,,,,,,,,
PP-52,Abdul Manan,34,IND,,,,,,,,,
PP-52,Shehryar Shahzad Ghuman,32,IND,,,,,,,,,
PP-52,Sabir Hussain Bhatti,23,IND,,,,,,,,,
PP-52,Zia Hayee,12,IND,,,,,,,,,
PP-52,Chaudhry Ijaaz Ahmed,-,IND,,,,,,,,,
PP-53,Rana Abdul Sattar,59307,PML-N,Tiger(284),,,,,,,,
PP-53,Malik Jamshed Ghias,58351,IND-PTI,SICKLE,,,,,,,,
PP-53,Chaudhry Tafseer Ahmed,13128,TLP,Crane(71),,,,,,,,
PP-53,Malik Tahir Akhtar,2519,PPP,Arrow(12),,,,,,,,
PP-53,Ijaaz Ahmed,1548,MML,,,,,,,,,
PP-53,Imran Akhtar,1134,JIP,,,,,,,,,
PP-53,Bilal Hussain,570,IND,,,,,,,,,
PP-53,Shakeel Ahmed,515,IND,,,,,,,,,
PP-53,Zulfiqar Ali Ghuman,488,IND,,,,,,,,,
PP-53,Choudhary Bilal Hussain Gondal,300,IND,,,,,,,,,
PP-53,Fakhar Nishat Ghuman,203,IND,,,,,,,,,
PP-53,Ghulam Qamar,152,IND,,,,,,,,,
PP-53,Umar Abdullah,145,IND,,,,,,,,,
PP-53,Muhammad Riaz,122,IND,,,,,,,,,
PP-53,Ansar junaid Cheema,98,IND,,,,,,,,,
PP-53,Shams Ur Rehman,90,IND,,,,,,,,,
PP-53,Abdul Hanan,84,IND,,,,,,,,,
PP-53,Sher Muhammad,76,IND,,,,,,,,,
PP-53,Muhammad Muneer,68,IND,,,,,,,,,
PP-53,Sarfraz Ahmed Ghuman,66,IND,,,,,,,,,
PP-53,Muhammad Asghar,54,IND,,,,,,,,,
PP-53,Abdul Manan,54,IND,,,,,,,,,
PP-53,Liaquat Ali Shahid,17,IND,,,,,,,,,
PP-54,Ahsan Iqbal,33243,PML-N,Tiger(284),,,,,,,,
PP-54,Awais Qasim,31060,IND,,,,,,,,,
PP-54,Syed saeed Ul Hassan,24950,IND,,,,,,,,,
PP-54,Javaid Mukhtar,22947,IND-PTI,TANDOOR,,,,,,,,
PP-54,Hafiz Tariq,10724,TLP,Crane(71),,,,,,,,
PP-54,Badar Ahsan Chaudhry,1696,IND,,,,,,,,,
PP-54,Ahsan Javed,998,IND,,,,,,,,,
PP-54,Muhammad Khuram Akram,693,MML,,,,,,,,,
PP-54,Mirza Muhammad Ayyub,614,JIP,,,,,,,,,
PP-54,Muhammad Ayaz Farooqi,515,JUIF,,,,,,,,,
PP-54,Mazhar Yousaf Chaudhry,273,PPP,Arrow(12),,,,,,,,
PP-54,Qamar Riaz,229,IND,,,,,,,,,
PP-54,Zahid Tauqer Azhar,201,IND,,,,,,,,,
PP-54,Shahbaz Ali,114,IND,,,,,,,,,
PP-54,Ghulam Ahmad,41,IND,,,,,,,,,
PP-55,Mahmood Ahmed,33793,TLP,Crane(71),,,,,,,,
PP-55,Arslan Hafeez,24091,IND-PTI,FRIDGE,,,,,,,,
PP-55,Muhammad Akmal Sargala,21341,PML-N,Tiger(284),,,,,,,,
PP-55,Chaudhry Liaquat Ali,7690,IND,,,,,,,,,
PP-55,Muhammad Nadeem Raheem,7326,IND,,,,,,,,,
PP-55,Hafiz Shabir Ahmed,3841,IND,,,,,,,,,
PP-55,Zain Ul Abidin Yousaf Toor,3638,MML,,,,,,,,,
PP-55,Waqar Ahmed Chaudhry,3229,IND,,,,,,,,,
PP-55,Muhammad Ghayyas Ud Din,3124,IND,,,,,,,,,
PP-55,Rashid mahmood Khan,1960,JIP,,,,,,,,,
PP-55,Qamar Zamaan Butt,1370,IND,,,,,,,,,
PP-55,Naeem Ur Rehman,1305,IND,,,,,,,,,
PP-55,Imtiaz Ahmed,787,PPP,Arrow(12),,,,,,,,
PP-55,Adil Hussain,734,IND,,,,,,,,,
PP-55,Amir Siddique Khan,632,IND,,,,,,,,,
PP-55,Ali Shan,593,IND,,,,,,,,,
PP-55,Chaudhry Abdul Hameed,479,IND,,,,,,,,,
PP-55,Naveed Aslam,471,JUIF,,,,,,,,,
PP-55,Dr. Tahir Ali Javed,309,IND,,,,,,,,,
PP-55,Muhammad Yasir,298,PAT,,,,,,,,,
PP-55,Umer Sharif Ahmed,212,IND,,,,,,,,,
PP-55,Riaz Ahmed,200,IND,,,,,,,,,
PP-55,Muhammad Mohsin,178,IND,,,,,,,,,
PP-55,Ali Raza,150,IND,,,,,,,,,
PP-55,Pervez Akhtar,100,PIRP,,,,,,,,,
PP-55,Usama Shafi,82,IND,,,,,,,,,
PP-55,Irshad Begum,34,IND,,,,,,,,,
PP-55,Nasir Jamil,-,IND,,,,,,,,,
PP-55,Farrukh Sultan,-,IND,,,,,,,,,
PP-55,Abdul Hameed,-,IND,,,,,,,,,
PP-56,Manan Khan,48889,PML-N,Tiger(284),,,,,,,,
PP-56,Aleem Tariq,35617,IND-PTI,ROUND TABLE,,,,,,,,
PP-56,Abu Hafas Muhammad Ghayas Ud Din,11548,TLP,Crane(71),,,,,,,,
PP-56,Muhammad Tariq Anees,6700,IND,,,,,,,,,
PP-56,Talat Rasheed,3296,JIP,,,,,,,,,
PP-56,Daniyal Aziz,2583,IND,,,,,,,,,
PP-56,Hijab Fatima,2034,MML,,,,,,,,,
PP-56,Mustansar Farooq,1401,IND,,,,,,,,,
PP-56,Zill E Huma,1356,PPP,Arrow(12),,,,,,,,
PP-56,Hafiz Rizwan Masood,1195,IND,,,,,,,,,
PP-56,Muhammad Qasim Rashid,1112,IND,,,,,,,,,
PP-56,Muhammad Boota,889,IND,,,,,,,,,
PP-56,Mehnaz Akbar Aziz,592,IND,,,,,,,,,
PP-56,Samra Manan,186,IND,,,,,,,,,
PP-56,Sumaira Minhaas,175,IND,,,,,,,,,
PP-56,Muhammad Arif Khan,118,IND,,,,,,,,,
PP-56,Qaiser Majeed,114,IND,,,,,,,,,
PP-56,Muhammad Shamim Tariq,92,IND,,,,,,,,,
PP-56,Muhammad Irfan Khan,89,IND,,,,,,,,,
PP-56,Muhammad Zia Ul haq,60,IND,,,,,,,,,
PP-56,Akbar Khan Sherwani,51,IND,,,,,,,,,
PP-56,Zain Ul Abidin Yousaf Toor,47,IND,,,,,,,,,
PP-56,Adil Khan Sherwani,46,IND,,,,,,,,,
PP-56,Faisal Manzoor Raheem,-,IND,,,,,,,,,
PP-56,Muhammad Asif Khan,-,IND,,,,,,,,,
PP-57,Khawaja Muhammad Waseem,52272,PML-N,Tiger(284),,,,,,,,
PP-57,Rana Lal Badshah,26486,IND-PTI,BRUSH,,,,,,,,
PP-57,Amjad Khan Kakar,18019,IND,,,,,,,,,
PP-57,Muhammad Akhtar,16830,TLP,Crane(71),,,,,,,,
PP-57,Imtiaz Ali,2966,MML,,,,,,,,,
PP-57,Rana Sufyan Mahmood,2189,PPP,Arrow(12),,,,,,,,
PP-57,Ahsan Adeel,1910,JIP,,,,,,,,,
PP-57,Hamza Ali,1245,IND,,,,,,,,,
PP-57,Hafeez Ahmad Khan,561,IND,,,,,,,,,
PP-57,Muhammad Iqbal Sagar,460,IND,,,,,,,,,
PP-57,Faiza Asghar,192,PML,,,,,,,,,
PP-57,Muhammad Shafiq iqbal,130,IND,,,,,,,,,
PP-57,Zargana Akhtar,94,IND,,,,,,,,,
PP-57,Muhammad Hamayun sajjad,89,IND,,,,,,,,,
PP-57,Khizar Ilyaz Virk,79,IND,,,,,,,,,
PP-57,Aleem Tariq,71,IND,,,,,,,,,
PP-57,Shazia Ahmed,66,NP,,,,,,,,,
PP-57,Samina Waseem,66,IND,,,,,,,,,
PP-57,Mukhtar Ahmed,48,IND,,,,,,,,,
PP-57,Muhammad Fayyaz,45,IND,,,,,,,,,
PP-57,Zulfiqar Ali,39,IND,,,,,,,,,
PP-57,Muhammad Sajjad,36,IND,,,,,,,,,
PP-57,Fayyaz Ahmed Basra,34,IND,,,,,,,,,
PP-57,Fayyiaz Ahmed,34,IND,,,,,,,,,
PP-57,Naveeda Hafeez,33,IND,,,,,,,,,
PP-57,Muhammad Nadeem Nisar,31,IND,,,,,,,,,
PP-57,Sikandar Abbas,30,IND,,,,,,,,,
PP-57,Ihtesham Khizar,18,IND,,,,,,,,,
PP-57,Muhammad Arslan Asif,5,IND,,,,,,,,,
PP-57,Nadir Khan Kakar,-,IND,,,,,,,,,
PP-57,Naeemullah Khan kakar,-,IND,,,,,,,,,
PP-58,Bilal Akbar Khan,55396,PML-N,Tiger(284),,,,,,,,
PP-58,Muhammad Irfan Abid,45806,IND-PTI,TAWA,,,,,,,,
PP-58,Rana Amaan Ullah Khan,18010,TLP,Crane(71),,,,,,,,
PP-58,Hassan Din,2055,MML,,,,,,,,,
PP-58,Riffat Javed,1288,IND,,,,,,,,,
PP-58,Naveeda Hafeez,1050,IND,,,,,,,,,
PP-58,Muhammad Yousaf,863,JUIF,,,,,,,,,
PP-58,Usama Amaan Ullah,698,IND,,,,,,,,,
PP-58,Muhammad Shahid Aslam,231,IND,,,,,,,,,
PP-58,Muhammad Istikhar,223,IND,,,,,,,,,
PP-58,Hafeez Ahmed Khan,204,IND,,,,,,,,,
PP-58,Muhammad Nadeem Nisar,188,IND,,,,,,,,,
PP-58,Muhammad Wakeel Khan,166,IND,,,,,,,,,
PP-58,Fayyaz Ahmed Basra,101,IND,,,,,,,,,
PP-58,Adil Khaloon,72,IND,,,,,,,,,
PP-58,Dildar Ahmed Bajwa,72,IND,,,,,,,,,
PP-58,Chaudhry Muhammad Farooq,71,IND,,,,,,,,,
PP-58,Zahid Mahmood,67,IND,,,,,,,,,
PP-58,Afzaal Ahmed,-,IND,,,,,,,,,
PP-59,Muammad Nasir Cheema,37478,IND-PTI,ROUND TABLE,,,,,,,,
PP-59,BILAL FAROOQ TARAR,32570,PML-N,Tiger(284),,,,,,,,
PP-59,Muhammad Masood Mustafai,8142,TLP,Crane(71),,,,,,,,
PP-59,Mian Saad Hasan Dar,3532,PPP,Arrow(12),,,,,,,,
PP-59,Dilshad Ahmad,1848,MML,,,,,,,,,
PP-59,Khuram Saleem,1235,JIP,,,,,,,,,
PP-59,Muhammad Mussadaq Riaz,630,IPP,,,,,,,,,
PP-59,BILAL NASIR CHEEMA,307,IND,,,,,,,,,
PP-59,Rizwan Yousaf,244,PAT,,,,,,,,,
PP-59,Muhammad Faisal Iqbal,230,IND,,,,,,,,,
PP-59,Sheikh Naeem Ahmed Hashmi,108,IND,,,,,,,,,
PP-59,Amir Rafiq Tarar,90,IND,,,,,,,,,
PP-59,Ghulam Mohyuddin Warraich,84,IND,,,,,,,,,
PP-59,"Mohammed Zahid, Javed",73,IND,,,,,,,,,
PP-59,Rao Usman Ali Khan,64,IND,,,,,,,,,
PP-59,Muhammad Zaman Warriach,57,IND,,,,,,,,,
PP-59,Muhammad Danish Warriach,56,IND,,,,,,,,,
PP-59,Chaudhry Muhammad Kashif Hafeez,49,IND,,,,,,,,,
PP-59,Chaudhary Khadim Hussain,47,IND,,,,,,,,,
PP-59,Sarfraz Ahmad Cheema,43,IND,,,,,,,,,
PP-59,Shair Akram Awan,32,IND,,,,,,,,,
PP-59,Azra Sultan,31,IND,,,,,,,,,
PP-59,Zain Ali Bhatti,30,IND,,,,,,,,,
PP-59,Khadija Mahmood,26,IND,,,,,,,,,
PP-59,Pervaiz Ahmad,26,IND,,,,,,,,,
PP-59,Muhammad Asif Cheema,25,IND,,,,,,,,,
PP-59,Rashid Hussain,13,IND,,,,,,,,,
PP-59,Muhammad Imran,-,IND,,,,,,,,,
PP-60,Kaleem Ullah Khan,36746,IND-PTI,CAKE,,,,,,,,
PP-60,Moazam Rauf Mughal,29923,PML-N,Tiger(284),,,,,,,,
PP-60,Baseerat Ali Abid,6432,TLP,Crane(71),,,,,,,,
PP-60,Muhammad Yousaf Butt,2799,JIP,,,,,,,,,
PP-60,Aqeel Anwar Dar,2401,IND,,,,,,,,,
PP-60,Khwaja Anwar Ahmed Sheikh,1274,PPP,Arrow(12),,,,,,,,
PP-60,Muhammad Mobeen Arif,1223,IND,,,,,,,,,
PP-60,Umer Tufail Gujjar,820,MML,,,,,,,,,
PP-60,Nadeem Ashraf,762,IND,,,,,,,,,
PP-60,Muhammad Afzaal,405,PAT,,,,,,,,,
PP-60,Afzal Ahmad,405,PAT,,,,,,,,,
PP-60,"Khawaja Khalid, Aziz",403,IND,,,,,,,,,
PP-60,Ashait Iqbal,387,PNP,,,,,,,,,
PP-60,Chaudhary Sajjad Mushtaq,362,IND,,,,,,,,,
PP-60,Afzal Baig,276,PML,,,,,,,,,
PP-60,Mehar Rawal Naz,147,IND,,,,,,,,,
PP-60,Imran Muzafar,107,MQM-P,,,,,,,,,
PP-60,Zahid Mahmood Mughal,87,IND,,,,,,,,,
PP-60,Muhammad Usman Salim,75,JUI,,,,,,,,,
PP-60,Mansoor Azam Malik,73,IND,,,,,,,,,
PP-60,Ahmad Bilal Dhillon,65,IND,,,,,,,,,
PP-60,Ahsan Azeem Butt,52,IND,,,,,,,,,
PP-60,Affan Riaz,49,IND,,,,,,,,,
PP-60,SA Hameed,42,IND,,,,,,,,,
PP-60,Kashif Ali Raza,42,IND,,,,,,,,,
PP-60,Mirza Izat Baig,42,TJP,,,,,,,,,
PP-60,Ilyas Hussain Rehan,41,IND,,,,,,,,,
PP-60,Muhammad Ameen,40,IND,,,,,,,,,
PP-60,Muhammad Ishfaq,38,IND,,,,,,,,,
PP-60,Raza Hameed,35,IND,,,,,,,,,
PP-60,Mohammad Farooq,32,IND,,,,,,,,,
PP-60,Chaudhary Mahbob Nazar Sandhu,29,IND,,,,,,,,,
PP-60,Ali Raza Buttar,29,IND,,,,,,,,,
PP-60,Zia Ul Haq,20,IND,,,,,,,,,
PP-60,Khuram Shahbaz,18,IND,,,,,,,,,
PP-60,Shakeela,15,IND,,,,,,,,,
PP-60,Tahir Naqash Khan,13,IND,,,,,,,,,
PP-60,Nabeel Anwar Cheema,12,IND,,,,,,,,,
PP-60,Ahmad Khaliq Mirza,6,IND,,,,,,,,,
PP-60,Chaudhary Asif Ali,5,IND,,,,,,,,,
PP-61,Imran Khalid Butt,34639,PML-N,Tiger(284),,,,,,,,
PP-61,Rizwan Ullah Butt,30111,IND,,,,,,,,,
PP-61,Tahir Majeed Khan,16786,IND-PTI,DOVE,,,,,,,,
PP-61,Aqeel Ismail,5160,TLP,Crane(71),,,,,,,,
PP-61,Muhammad Aniq Hussan Randhawa,4186,JIP,,,,,,,,,
PP-61,Khalid Hussain,2009,PPP,Arrow(12),,,,,,,,
PP-61,Chaudhry Abid Ali Gujjar,1658,MML,,,,,,,,,
PP-61,Kamran Khalid Butt,849,IND,,,,,,,,,
PP-61,Iftikhar Ali,559,IND,,,,,,,,,
PP-61,Imran Ullah Butt,371,IND,,,,,,,,,
PP-61,Irfan Ullah Butt,371,IND,,,,,,,,,
PP-61,Rana Usman Nisar,238,IND,,,,,,,,,
PP-61,Chaudhary Mahbob Nazar Sandhu,202,IND,,,,,,,,,
PP-61,Muhammad Ashraf,171,IND,,,,,,,,,
PP-61,Ali Raza Buttar,103,IND,,,,,,,,,
PP-61,Nasir Afzal,97,IND,,,,,,,,,
PP-61,Nasreen Gull,76,IND,,,,,,,,,
PP-61,Zahid Mahmood Mughal,54,IND,,,,,,,,,
PP-61,Azhar Mahmoud Cheema,54,IND,,,,,,,,,
PP-61,Muhammad Umar Kamboh,40,IND,,,,,,,,,
PP-61,Shakir Mazhar,33,IND,,,,,,,,,
PP-61,Abdul Rasheed,31,IND,,,,,,,,,
PP-61,Sobia Butt,30,IND,,,,,,,,,
PP-61,Asif Mahmood,25,IND,,,,,,,,,
PP-61,Muhammad Ali Khan,21,IND,,,,,,,,,
PP-61,Shahid Hassan,20,IND,,,,,,,,,
PP-62,Chaudhry Muhammad Nawaz Chohan,30596,PML-N,Tiger(284),,,,,,,,
PP-62,Rizwan Mustafa Sian,26087,IND-PTI,TOWER,,,,,,,,
PP-62,Muhammad Salim,7097,TLP,Crane(71),,,,,,,,
PP-62,MUHAMMAD AFZAL CHEEMA,5253,IND-PTI,,,,,,,,,
PP-62,Faiz Ul Haq,3280,JIP,,,,,,,,,
PP-62,Shoukat Ali Virk,2430,MML,,,,,,,,,
PP-62,Aaqib Azaam,1907,IND,,,,,,,,,
PP-62,Muhammad Abbas,1475,PPP,Arrow(12),,,,,,,,
PP-62,Atif Awan,433,IND,,,,,,,,,
PP-62,Muhammad Zikriya,428,IND,,,,,,,,,
PP-62,Muhammad Waqas,421,IND,,,,,,,,,
PP-62,Waqas Ahmad Cheema,302,IND,,,,,,,,,
PP-62,Chaudhary Tanveer Ahmad,281,IND,,,,,,,,,
PP-62,Ijaz Boota,225,PAT,,,,,,,,,
PP-62,Mehar Muhammad sarfarz,148,IND,,,,,,,,,
PP-62,MUHAMMAD IKRAM,127,IND,,,,,,,,,
PP-62,Muhammad Asim Anees,119,IND,,,,,,,,,
PP-62,Kashif javaid,118,IND,,,,,,,,,
PP-62,Muhammad Faisal Ikram,109,IND,,,,,,,,,
PP-62,Waqar Gohar,98,IND,,,,,,,,,
PP-62,Mohammad Sarfaraz khan,94,IND,,,,,,,,,
PP-62,Rizwan Yousaf,87,IND,,,,,,,,,
PP-62,Ameer Hamza Virk,71,IND,,,,,,,,,
PP-62,Waqar Ahmad Cheema,66,IND,,,,,,,,,
PP-62,Yahya Butt,58,IND,,,,,,,,,
