National Assembly,Name of Candidate,Party Affiliation,Symbol Allocated,Number of Votes Polled,Number of Voters Polled ,Rejected Votes,Casted Men ,Casted Women ,Registered Males,Registered Females ,Total Voters Registered ,Turnout %
NA-234,Umar Gul,JIP,Scale (232),"4,480","175,051","1,969","109,622","65,429","219,054","166,574","385,628",45.39
NA-235,Muhammad Bilal Khan Sher Pao,PPPP,Arrow (12),"3,538","68,931","1,673","41,180","27,751","97,741","72,440","170,181",40.5
NA-236,Meraj Hamayun Khan,IND,Dove (88),"1,234","135,215",51,"94,059","41,156","280,363","262,046","542,409",24.93
NA-237,Sayed Nadeem Shah,NDM,Mountain (180),906,"147,611","2,902","90,970","56,641","226,178","187,764","413,942",35.66
NA-238,Wasim Shah,IND,Human Eye (142),864,"171,134","3,141","100,169","70,965","293,269","268,014","561,283",30.49
NA-239,Muhammad Razzaq,IND,Transformer (294),517,"131,785","2,564","83,389","48,396","233,087","188,994","422,081",31.22
NA-240,Yousaf Ali,IND,Charpai (56),293,"116,654","1,672","75,540","41,114","210,741","175,230","385,971",30
NA-241,Khalid Mehmood,JUIS,Ladder (161),256,"108,356",,"63,930","44,426","243,868","218,644","462,512",23
NA-242,Waleed Ahmad,TDP,Waist Coat (314),175,"191,339","2,438","124,786","66,553","256,173","181,617","437,790",43.71
NA-243,Khanzada Arsalan Khan,IND,Cricket Stumps (73),148,"170,004","2,991","109,952","60,052","261,913","191,511","453,424",37.49
NA-244,Umat Khan,IND,Clock (60),127,"60,631","1,240","37,668","22,963","89,428","66,254","155,682",38.95
NA-245,Sheram Khan,IND-PTI,Dove (88),"122,965","162,220","3,117","106,106","56,114","220,253","155,032","375,285",43.23
NA-246,Waris Khan,ANP,Lantern (162),"47,535","187,858","2,775","115,442","72,416","241,259","182,602","423,861",44.32
NA-247,Abdur Rahim Khan,JUIF,Book (31),"19,528","190,115","3,162","116,325","73,790","240,786","196,148","436,934",43.51
NA-248,Usman Khan,PPPP,Arrow (12),"16,059","266,077",884,"152,387","113,690","318,949","280,862","599,811",44.36
NA-249,Mehmood Ul Hassan,JIP,Scale (232),"3,704","203,169","2,736","119,421","83,748","302,341","252,300","554,641",36.63
NA-250,Fazal Elahi,IND,Teapot (279),"1,308","191,042","2,678","110,997","80,045","291,116","262,424","553,540",34.51
NA-251,Tahir Ali,IND,Aeroplane (2),"1,025","145,367","7,273","97,807","47,560","181,416","142,172","323,588",44.92
NA-252,Ameer Zeb,PMML,Chair (55),504,"192,257","1,386","117,204","75,053","189,618","150,198","339,816",56.58
NA-253,Ahmad Asad,IND,Sickle (246),220,"231,915","7,640","144,953","86,962","253,478","199,874","453,352",51.16
NA-254,Mukhtiar Ali,IND,Computer  (67),128,"152,620","7,745","92,484","60,136","179,411","145,328","324,739",47
NA-255,Mujahid Ali,IND-PTI,Dove (88),"118,049","196,536","15,938","111,659","84,877","279,687","252,017","531,704",36.96
NA-256,Azam Khan,JUIF,Book (31),"51,797","144,851","8,478","82,237","62,614","164,555","135,527","300,082",48.27
NA-257,Ahmed Ali,ANP,Lantern (162),"31,038","188,163","10,459","105,075","83,088","203,965","164,253","368,218",51.1
NA-258,Asad Ullah Khan,PPPP,Arrow (12),"16,557","60,755","1,292","34,737","26,018","124,068","100,990","225,058",27
NA-259,Atta Ur Rhaman,JIP,Scale (232),"9,040","116,123","2,563","63,391","52,732","164,961","139,079","304,040",38.19
NA-260,Muhammad Ghalb,PMML,Chair (55),"1,011","177,339","7,324","98,744","78,595","202,289","163,306","365,595",48.51
NA-261,Lubna Faheem,IND,Cricket Stumps (73),934,"112,959","6,119","67,339","45,620","170,118","137,025","307,143",36.78
NA-262,Peer Humayon Said,IND,Sickle (246),534,"77,303","1,377","54,129","23,174","142,328","96,864","239,192",32.32
NA-263,Sartaj Khan,IND,Pomegranate (208),527,"118,573","2,847","80,630","37,943","234,773","183,507","418,280",28.34
NA-264,Amir Hajjaaz Khan,IND,Key With Lock (156),504,"56,431",704,"37,152","19,279","111,486","85,276","196,762",28.68
NA-265,Gul Muhammad,IND,Fridge (113),411,"129,010","4,641","78,762","50,248","182,678","132,723","315,401",40.9
NA-266,Muhammad Atif,IND-PTI,Sickle (246),"114,748","202,320",926,,,"230,306","127,528","357,834",57
,Amir Haider Azam Khan,ANP,Lantern (162),"66,159",,,,,,,,
,Niaz Ali,JUIF,Book (31),"24,022",,,,,,,,
,Syed Abid Ali Shah,PPPP,Arrow (12),"2,962",,,,,,,,
,Ambrin Urf Hina,TLP,Crane (71),"1,281",,,,,,,,
,Mukhtiar,IND,Charpai (56),970,,,,,,,,
,Syed Umer Farooq,IND,Dove (88),935,,,,,,,,
,Zulfiqar Ali,IND,Aeroplane (2),382,,,,,,,,
,Syed Kamal,IND,Printer (210),280,,,,,,,,
,Sher Bahadur,IND,Slate (248),234,,,,,,,,
,Muhammad Hanif,IND,Peacock (194),205,,,,,,,,
,Shujaa Ul Mulk,RJUI,Ring (220),164,,,,,,,,
,Muhammad Ayaz,IND,Clock (60),163,,,,,,,,
,Muhammad Sheron Amir Zada,PTSP,Fort (110),145,,,,,,,,
,Jibran Khan,IND,Computer  (67),128,,,,,,,,
,Muhammad Said,PFM,Date Tree (78),124,,,,,,,,
,Masood Shah Roghani,IND,Key Chain (155),83,,,,,,,,
,Ali Muhammad,IND-PTI,Dolphin (85),"102,175",,,,,,,,
,Ahmad Khan,ANP,Lantern (162),"33,910",,,,,,,,
,Kaleem Ullah Khan,JUIF,Book (31),"32,655",,,,,,,,
,Jalal Khan Khattak,PML-N,Tiger (284),"10,101",,,,,,,,
,Aqib Ismail,JIP,Scale (232),"9,424",,,,,,,,
,Shoaib Alam Khan,PPPP,Arrow (12),"6,805",,,,,,,,
,Shoaib Khan,IND,Cricket Stumps (73),"1,052",,,,,,,,
,Zer Muhammad,IND,Suitcase (264),771,,,,,,,,
,Abdul Azeem,PMML,Chair (55),639,,,,,,,,
,Maazullah Khan,PTSP,Fort (110),340,,,,,,,,
,Bashir Khan,ATP,Tyre (309),159,,,,,,,,
,Anwar Taj,IND-PTI,Teapot (279),"89,801",,,,,,,,
,Gohar Ali,JUIF,Book (31),"48,545",,,,,,,,
,Aftab Ahmad Khan Sher Pao,QWP,Chiragh Oil Lamp (58),"34,415",,,,,,,,
,Irfan Ali,ANP,Lantern (162),"8,852",,,,,,,,
,Sami Ullah,JIP,Scale (232),"6,510",,,,,,,,
,Shazia Tahaas Khan,PPPP,Arrow (12),"2,403",,,,,,,,
,Nasir Ali,IND,Pomegranate (208),"1,797",,,,,,,,
,Jahanzaib Khan,IND,Aeroplane (2),525,,,,,,,,
,Farah Khan,PML-N,Tiger (284),460,,,,,,,,
