National Assembly,Name of Candidate,Party Affiliation,Symbol Allocated,Number of Votes Polled,Number of Voters Polled ,Rejected Votes,Casted Men ,Casted Women ,Registered Males,Registered Females ,Total Voters Registered ,Turnout %
,Muhammad Iqbal,IND,Bed (23),45,,,,,,,,
,Muhammad Arif Khan,IND,Dove (88),43,,,,,,,,
,Abdul Qadeer Khan,IND,Pomegranate (208),42,,,,,,,,
,Malik Noor Aslam Khan,IND,Cricket Stumps (73),39,,,,,,,,
,Naila Khan,IND,Handbag (131),26,,,,,,,,
,Nawab Ali Khan,IND,Queen (211),26,,,,,,,,
,Rafi Ullah Khan,IND,Computer  (67),19,,,,,,,,
,Rafi Ullah Khan Marwat,IND,Gas Cylinder (116),18,,,,,,,,
,Abdullah,IND,Charpai (56),11,,,,,,,,
,Haroon Naimat Ullah,IND,Bowl (34),7,,,,,,,,
,Abdul Waheed Khan,RJUI,Ring (220),5,,,,,,,,
,Zahoor Ud Din,IND,Tap (277),1,,,,,,,,
,Zubair Khan,IND-PTI,Computer  (67),"20,022",,,,,,,,
,Muhammad Ali,IND,Key With Lock (156),"16,194",,,,,,,,
,Muhammad Jamal Ud Din,JUIF,Book (31),"13,907",,,,,,,,
,Saeed Anwar,IND,Clock (60),"9,767",,,,,,,,
,Gul Azeem,IND,Aeroplane (2),"7,537",,,,,,,,
,Mehmood Ali,IND,Human Eye (142),"1,196",,,,,,,,
,Hameed Ullah,ANP,Lantern (162),593,,,,,,,,
,Sul Meer Khan,SQM,Gate (117),475,,,,,,,,
,Muhammad Sadiq,MOTP,Pitcher (204),403,,,,,,,,
,Abid Hussain,IND,Carrom Board (54),390,,,,,,,,
,Aman Ullah Son of Gul Azad,PPPP,Arrow (12),384,,,,,,,,
,Abdul Wasay,IND,Match Box (172),362,,,,,,,,
,Nasrullah Khan Wazir,IND,Teapot (279),348,,,,,,,,
,Hazrat Bilal,IND,Air Cooler (4),294,,,,,,,,
,Abdul Majeed,IND,Suitcase (264),257,,,,,,,,
,Ghalib Khan,PML-N,Tiger (284),245,,,,,,,,
,Aman Ullah Son of Akram Khan,IND,Pomegranate (208),183,,,,,,,,
,Sail Ur Rehman,JIP,Scale (232),153,,,,,,,,
,Muhammad Ilyas,IND,Fridge (113),141,,,,,,,,
,Aisha Gulalai Wazir,IND,Racket (214),118,,,,,,,,
,Arif Zaman Burki,IND,Charpai (56),112,,,,,,,,
,Sohail Haroon,IND,Transformer (294),102,,,,,,,,
,Muhammad Asghar Khan,NDM,Mountain (180),95,,,,,,,,
,Ali Sher Khan,IND,Medal (173),87,,,,,,,,
,Sabir Ahmad,IND,Badge (16),83,,,,,,,,
,Badshahi Khan,IND,Swallow (267),48,,,,,,,,
,Yar Muhammad,IND,Wheel Chair (325),46,,,,,,,,
,Hafiz Alamin,IND,Dolphin (85),33,,,,,,,,
,Naqib Ur Rehman,IND,Dove (88),23,,,,,,,,
,Dawar Khan Kundi,IND-PTI,Wheel Chair (325),"63,556",,,,,,,,
,Asad Mehmood,JUIF,Book (31),"62,730",,,,,,,,
,Muhammad Ramzan,TLP,Crane (71),"19,979",,,,,,,,
,Abd Ullah,IND,Charpai (56),"9,438",,,,,,,,
,Anwar Saifullah Khan,PPPP,Arrow (12),"5,707",,,,,,,,
,Muhammad Imtiaz,JIP,Scale (232),"1,415",,,,,,,,
,Sher Bahadur Khan,IND,Round Table (271),213,,,,,,,,
,Muhammad Akbar Khan,PML-N,Tiger (284),187,,,,,,,,
,Inam Ullah Khan,IND,Nail Cutter,179,,,,,,,,
,Sami Ullah Khan Burki,IND,Medal (173),152,,,,,,,,
,Arshad Mansoor Shah,ANP,Lantern (162),150,,,,,,,,
,Obaid Ur Rehman,IND,Peacock (194),145,,,,,,,,
,Asam Ud Din,IND,Kettle (153),134,,,,,,,,
,Muhammad Khalid,IND,Human Eye (142),122,,,,,,,,
,Ghulam Farid,IND,Gas Cylinder (116),118,,,,,,,,
,Said Badshah,IND,Badge (16),106,,,,,,,,
,Rehmat Khan,IND,Lotus (168),100,,,,,,,,
,Mustafa Kundi,IND,Teapot (279),98,,,,,,,,
,Ghulam Badshah,IND,Key Chain (155),82,,,,,,,,
,Ghayas Ud Din,IND,Water Cooler (317),79,,,,,,,,
,Ghulam Qadir Khan,IND,Aeroplane (2),78,,,,,,,,
,Shah Noor,IND,Dove (88),71,,,,,,,,
,Ali Amin Khan,IND-PTI,Queen (211),"93,443",,,,,,,,
,Fazl Ur Rahman,JUIF,Book (31),"59,922",,,,,,,,
,Faisal Karim Kundi,PPPP,Arrow (12),"35,567",,,,,,,,
,Muhammad Shafiq Ul Hai,TLP,Crane (71),"9,357",,,,,,,,
,Syed Muhammad Jawad Asghar Shah,PTIP,Turban (305),"4,193",,,,,,,,
,Waqar Ahmed Khan,IND,Swallow (267),"1,659",,,,,,,,
,Khuram Shehzad,IND,Slate (248),"1,239",,,,,,,,
,Muhammad Yousaf Khan,JIP,Scale (232),"1,185",,,,,,,,
,Mehnaz Ali,IND,Fork (109),"1,102",,,,,,,,
,Sirhaan Ahmed Khan,IND,Audio Cassette (13),582,,,,,,,,
,Muhammad Tanveer,IND,Transformer (294),323,,,,,,,,
,Amin Ullah Khan,IND,Wrench (329),317,,,,,,,,
,Sherullah Khan,ANP,Lantern (162),243,,,,,,,,
,Hamayun Khan,IND,Table (271),233,,,,,,,,
,Zamir Hassain,IND,Dove (88),225,,,,,,,,
,Muhammad Ali Raza,IND,T Shirt (301),142,,,,,,,,
,Rehan Malik,IND,Medal (173),124,,,,,,,,
,Akhtar Saeed,IND,Clock (60),123,,,,,,,,
,Malik Muhammad Ayaz,IND,Charpai (56),81,,,,,,,,
,Fateh Ullah Khan,PPPP,Arrow (12),"56,933",,,,,,,,
,Obaid Ur Rehman,JUIF,Book (31),"48,343",,,,,,,,
,Shoaib Nasir,IND-PTI,Aeroplane (2),"23,106",,,,,,,,
,Muhammad Yaqoob Shaikh,IND,Clock (60),"12,547",,,,,,,,
,Shahi Khan,ANP,Lantern (162),"3,445",,,,,,,,
,inayat Ullah Khan,IND,Match Box (172),"2,311",,,,,,,,
,Muhammad Ijaz,JIP,Scale (232),"1,808",,,,,,,,
,Tallal Khan,IND,Newspaper,"1,439",,,,,,,,
,Muhammad Haider Ali Khan,IND,Slate (248),"1,210",,,,,,,,
,Dawar Khan Kundi,IND,Hand Pump (130),516,,,,,,,,
,Jehanzeb Babar,IND,Hukkah (141),234,,,,,,,,
,Mustafa Kundi,IND,Peacock (194),226,,,,,,,,
,Anjum Aqeel Khan,PML-N,Tiger (284),"81,958",,,,,,,,
,Aamer Masood,IND-PTI,Brinjal (37),"44,317",,,,,,,,
,Ghulam Qadar,TLP,Crane (71),"8,596",,,,,,,,
,Raja Imran Ashraf,PPPP,Arrow (12),"7,987",,,,,,,,
,Mian Mohammad Aslam,JIP,Scale (232),"1,979",,,,,,,,
,Abdul Majeed Hazarvi,JUIF,Book (31),"1,828",,,,,,,,
,Malik Mazhar Javed,PRHP,Iron (147),"1,122",,,,,,,,
,Muhammad Shafique Ur Rehman,PMML,Chair (55),"1,071",,,,,,,,
,Anwar Khan,IND,Dove (88),445,,,,,,,,
,Muhammad Shoaib Shaheen,IND,Shoes (243),379,,,,,,,,
,Nayyab Ali,IND,Green Chilli (126),323,,,,,,,,
,Muhammad Zaheer,IND,Dish Antenna (84),166,,,,,,,,
,Muhammad Rafiq,PTE,Hud Hud (140),130,,,,,,,,
,Muhammad Hamza ALi Haroonn,IND,Fridge (113),123,,,,,,,,
,Sheeraz Basharat,IND,Table Tennis Bat (273),110,,,,,,,,
,Muhammad Usman,IND,Feather (102),93,,,,,,,,
,Jamshed Mehboob Mughal,IND,Water Melon,85,,,,,,,,
,Ajab Khan,SQM,Gate (117),83,,,,,,,,
,Fawad Aslam,IND,Top (288),78,,,,,,,,
,Muhammad Shafique,PAT,Motor Cycle (179),66,,,,,,,,
,Bilal Saleem,IND,Racket (214),65,,,,,,,,
,Raja Faisal Nadeem,IND,Phole Gobhi,65,,,,,,,,
,Muhammad Imran Shahzad,IND,Clock (60),64,,,,,,,,
,Saif ullah,ANP,Lantern (162),61,,,,,,,,
,Farzand Hussain Shah,IND,Mic (174),58,,,,,,,,
,Kaneez Fatima,IND,Lotus (168),57,,,,,,,,
,Chan Mehboob Noon Awan,IND,Charpai (56),54,,,,,,,,
,Amina Sadaf,IND,Aeroplane (2),49,,,,,,,,
,Muhammad Faisal,GDP,Sun (265),46,,,,,,,,
,Syed Muhmmad Mustafain Kazmi,IND,Parachute (192),45,,,,,,,,
,Muhammad Jamshed Khan,IND,Tower (291),41,,,,,,,,
,Shehzad AsifJaved,MQM-P,Kite (159),38,,,,,,,,
,Sajid Mehmood,IND,Coconut (62),35,,,,,,,,
,Tanveer Hussain,IND,Hen (135),30,,,,,,,,
,Chaudry Khalid Yousaf,IND,Slate (248),24,,,,,,,,
,Waqar Ahmed,AATP,Mug (181),24,,,,,,,,
,Riaz Muhammad Yousafzai,PMAP,Tree,19,,,,,,,,
,Malik Tariq Mehmood Noon,IND,Dolphin (85),16,,,,,,,,
,Rabia Masood,IND,Radio (215),15,,,,,,,,
,Zubair Farooq Khan,IND,Black Board (29),15,,,,,,,,
,Yasir Riaz Abbasi,IND,Bowl (34),13,,,,,,,,
,Malik Asad Ali Khan,IND,Drum (91),5,,,,,,,,
,Muhammad Masroof Khan,IND,Planner (205),5,,,,,,,,
,Tariq Fazal Chaudhary,PML-N,Tiger (284),"102,502",,,,,,,,
,Muhammad Shoaib Shaheen,IND,Dove (88),"86,396",,,,,,,,
,Mustafa Nawaz Khokhar,IND,Clock (60),"17,916",,,,,,,,
,Syed Sibtal Haider Bukhari,PPPP,Arrow (12),"14,780",,,,,,,,
,Hafiz Khawar Ikhlas,TLP,Crane (71),"11,308",,,,,,,,
,Muhammad Kashif,JIP,Scale (232),"7,722",,,,,,,,
,Sheeraz Kiani,IND,Parrot (193),"2,744",,,,,,,,
,Muhammad Rafiq,PTE,Hud Hud (140),"2,123",,,,,,,,
,Sania Youngs,IND,Queen (211),"1,365",,,,,,,,
,Muhammad lqbal Jahan,IND,Charpai (56),"1,356",,,,,,,,
,Muhammad Yaqoob Alvi,PWP,Olympic Torch (186),"1,332",,,,,,,,
,Nasir Mehmood,PAL,Hockey (136),858,,,,,,,,
,Asiya Bibi,IND,Peacock (194),733,,,,,,,,
,Muhammad Zafar,IND,Mic (174),487,,,,,,,,
,Farhana Qamar,IND,Medal (173),432,,,,,,,,
,Muhammad Aamir,IND,Cooking Pot,409,,,,,,,,
,Syed Faqir Hussain Shah Bukhari,PML-KQK,Gun (128),396,,,,,,,,
,Asma Muzaffar,IND,Computer  (67),240,,,,,,,,
,Ch Ilyas Mehrban,IND,Battery (21),231,,,,,,,,
,Syed Muhammad Mustafain Kazmi,IND,Brinjal (37),213,,,,,,,,
,Khawar Israr Satti,IND,Alphabet B,192,,,,,,,,
,Syed Junaid Hussain Shah,IND,Planner (205),173,,,,,,,,
,Raja Saqib Mehmood,IND,Cricket Stumps (73),163,,,,,,,,
,Nayyab Ali,IND,Green Chilli (126),119,,,,,,,,
,Shahana Subhan,IND,Brush (38),107,,,,,,,,
,Syed Masood Shah,ANP,Lantern (162),101,,,,,,,,
,Aamer Masood,IND,Transformer (294),81,,,,,,,,
,Syed Nadeem Mansur,MQM-P,Kite (159),79,,,,,,,,
,Khurram Shahzad,IND,Bench (26),57,,,,,,,,
,Niaz Ullah Khan,IND,Deep Freezer,53,,,,,,,,
,Raja Muhammad Mansoor Khan,IND,Black Board (29),50,,,,,,,,
,Umbreen Younis Turk,IND,Calculator (47),27,,,,,,,,
,Hashim Khan,IND,Dhol (81),24,,,,,,,,
,Nuzhat Talib,IND,Curtain (77),21,,,,,,,,
,Syed Zafar Ali Shah,IND,Brick (35),1,,,,,,,,
,Waciar Ahmed,IND,Dice (83),1,,,,,,,,
,Syed Hassan Zafar,IND,Bowl (34),,,,,,,,,
,Raja Khurram Shahzad Nawaz,IND,Pomegranate (208),"69,699",,,,,,,,
,Syed Muhammad Ali Bokhari,IND-PTI,Parachute (192),"59,851",,,,,,,,
,Mustafa Nawaz Khokhar,IND,Clock (60),"18,572",,,,,,,,
,Azhar Mehmood,TLP,Crane (71),"13,200",,,,,,,,
,Malik Abdul Aziz,JIP,Scale (232),"8,477",,,,,,,,
,Khaqan Waheed Khawaja,PAQP,Hanger (132),"3,209",,,,,,,,
,Chaudary Asad Parvez,PPPP,Arrow (12),"2,994",,,,,,,,
,Syed Hassan Zafar,IND,Gramophone,997,,,,,,,,
,Saeed Ahmad Awan,JUIF,Book (31),802,,,,,,,,
,Muhammad Shoaib Shaheen,IND-PTI,Dove (88),800,,,,,,,,
,Syed Muhammad Mustafain Kazmi,IND,Dish Antenna (84),476,,,,,,,,
,Rabia Iqbal,IND,Computer  (67),382,,,,,,,,
,Sardar Muhammad Tazeem Khan,IND,Swallow (267),235,,,,,,,,
,Sohail Ahmed,IND,Badge (16),231,,,,,,,,
,CHoudhary Asif Irshad,IND,Shuttle Cock,226,,,,,,,,
,Raja Muhammad Farooq,IND,Brick (35),143,,,,,,,,
,Usama,IND,Cricket Stumps (73),127,,,,,,,,
,Muhammad Zameer Khan,IND,Saddle (228),126,,,,,,,,
,Muhammad Hanif Mughal,PTS,Knife (160),126,,,,,,,,
,Waqa Ahmed,PRHP,Iron (147),110,,,,,,,,
,Malik Ikhlaq Ahmed Awan,IND,Calculator (47),106,,,,,,,,
,Tazain Azka Hamid Chaudhry,IND,Queen (211),101,,,,,,,,
,Shahid Iqbal,PFP,Ship (242),78,,,,,,,,
,Muhammad Rafiq,PTE,Hud Hud (140),75,,,,,,,,
,Ch Ilyas Mehrban,IND,Battery (21),73,,,,,,,,
,Zarar Ahmed,IND,Peacock (194),62,,,,,,,,
,Sheikh Anser Aziz,IND,Mic (174),62,,,,,,,,
,Shamim Aftab,IND,Aeroplane (2),53,,,,,,,,
,Mazhar Abbas,IND,Key Chain (155),48,,,,,,,,
,Muhammad Jahangir Ali Khan,IND,Racket (214),47,,,,,,,,
,Nighat Fardoos,PMML,Chair (55),45,,,,,,,,
,Malik Fakkhar Ali,IND,Bowl (34),45,,,,,,,,
,Gul Zali Khani,IND,Screw Driver (237),32,,,,,,,,
,Mirza Asim Baig,IND,Table (271),31,,,,,,,,
,Farrukh Bashir,TTK-P,Binoculars,28,,,,,,,,
,Muhammad Humayon Nazir,IND,Door (87),19,,,,,,,,
,Nighmat Taskeen Khalid,IND,Dressing Table (271),16,,,,,,,,
,Syed Zafar Ali Shah,IND,Medal (173),,,,,,,,,
,Sheikh Aftab Ahmed,PML-N,Tiger (284),"119,727",,,,,,,,
,Tahir Sadiq,IND-PTI,Sheep (241),"110,230",,,,,,,,
,Hafiz Muhammad Hamid,TLP,Crane (71),"36,413",,,,,,,,
,Muhammad Zain Elahi,IND,Tawa (278),"19,201",,,,,,,,
,Iqbal Khan,JIP,Scale (232),"15,547",,,,,,,,
,Khurram Shahzad,PPPP,Arrow (12),"7,119",,,,,,,,
,Iftikhar Ahmed Farooqi,PRHP,Iron (147),"4,119",,,,,,,,
,Muhammad Amir Awan,PAT,Motor Cycle (179),"1,718",,,,,,,,
,Siraj Gul,IND,Goat (123),"1,133",,,,,,,,
,Abdullah,PMML,Chair (55),951,,,,,,,,
,Malik Amin Aslam Khan,IND,Clock (60),848,,,,,,,,
,Malik Zia Ur Rehman Noorani,IND,Orange (188),445,,,,,,,,
,Naz Tahir,IND,Peacock (194),1,,,,,,,,
,Hamayun Khan,IND,Dolphin (85),1,,,,,,,,
,Malik Sohail Khan,PML-N,Tiger (284),"119,075",,,,,,,,
,Eman Waseem,IND-PTI,Water Turbine (320),"109,189",,,,,,,,
,Hafiz Muhammad Saad,TLP,Crane (71),"91,709",,,,,,,,
,Saleed Haider,PPPP,Arrow (12),"64,160",,,,,,,,
,Amjad Ali Khan,JIP,Scale (232),"7,185",,,,,,,,
,Muhammaf Safder Hashimi,PRHP,Iron (147),"4,014",,,,,,,,
,Inbisaat Tahir Sadiq,IND,Garland (116),"2,848",,,,,,,,
,Riffat Naz,IND,Black Board (29),"2,048",,,,,,,,
,Naz Tahir,IND,Peacock (194),"1,666",,,,,,,,
,Malik Muhammad Asim Raza,IND,Bowl (34),935,,,,,,,,
,Fakhar Ud Din,JUIF,Book (31),877,,,,,,,,
,Malik Bahadar Yar,IND,Dove (88),869,,,,,,,,
,Qasim Ali Khan,PMML,Chair (55),745,,,,,,,,
,Qaiser Shahzad,IND,Cricket Stumps (73),711,,,,,,,,
,Imran Ali Khan,IND,Lotus (168),652,,,,,,,,
,Muhammad Asim,TAP,Basket (18),506,,,,,,,,
,Sardar Ghulam Mujataba Khan,MQM-P,Kite (159),477,,,,,,,,
,Siraj Gul,IND,Sickle (246),390,,,,,,,,
,Hassan Yar,IND,Hand Pump (130),,,,,,,,,
,Muhammad Saleem,IND,Bear (22),,,,,,,,,
,Raja Osama Sarwar,PML-N,Tiger (284),"149,250",,,,,,,,
,Muhammad Latasob Satti,IND-PTI,Violin (313),"113,843",,,,,,,,
,Javed Akhtar Abbasi,TLP,Crane (71),"31,809",,,,,,,,
,Mehreen Anwar Raja,PPPP,Arrow (12),"16,457",,,,,,,,
,Mehmood Shoukat,IND,Clock (60),"14,838",,,,,,,,
,Muhammad Sufyan,JIP,Scale (232),"10,041",,,,,,,,
,Raja Tariq Mehmood Janjua,IND,Cricket Stumps (73),"2,966",,,,,,,,
,Muhammad Zubair Abbasi,JUIF,Book (31),"1,503",,,,,,,,
,Muhammad Qasim Satti,IND,Suitcase (264),"1,439",,,,,,,,
,Raja Tanveer Ahmed,IND,Hukkah (141),"1,173",,,,,,,,
,Naveed Iqbal,TJP,Sun Flower (266),988,,,,,,,,
,Javed Iqbal Satti,IND,Screw Driver (237),850,,,,,,,,
,Amjad Arbab Abbasi,PAT,Motor Cycle (179),557,,,,,,,,
,Abida Bibi,IND,Spinning Wheel,493,,,,,,,,
,Sardar Mohsin Akhtar Abbasi,IND,Computer  (67),410,,,,,,,,
,Asif Shafique Satti,IND,Tower (291),365,,,,,,,,
,Umar Naveed Satti,IND,Nail Cutter,284,,,,,,,,
,Muhammad Usman,PMML,Chair (55),280,,,,,,,,
,Saqib Imtiaz,IND,Spoon (255),264,,,,,,,,
,Ghulam Murtaza Satti,IND,Grate (125),249,,,,,,,,
,Tariq Mehmood Murtaza,IND,Teapot (279),217,,,,,,,,
,Saif Ur Rehman,IND,Stabilizer (256),209,,,,,,,,
,Muhammad Nauman Abbasi,IND,Geyser (120),206,,,,,,,,
,Asmar Ahmed Abbasi,IND,Racket (214),201,,,,,,,,
,Sohail Irfan Abbasi,IND,Frame (112),82,,,,,,,,
,Muhammad Sajid Khan Abbasi,IND,Battery (21),59,,,,,,,,
,Raja Pervaiz Ashraf,PPPP,Arrow (12),"112,265",,,,,,,,
,Tariq Aziz Bhatti,IND,Bowl (34),"91,547",,,,,,,,
,Raja Muhammad Javaid Ikhlas,PML-N,Tiger (284),"77,062",,,,,,,,
,Chaudhry Muhammad Riaz,TLP,Crane (71),"37,156",,,,,,,,
,Chaudhry Abid Hussain,JIP,Scale (232),"3,710",,,,,,,,
,Ahmad Raza,IND,Bear (22),"2,160",,,,,,,,
,Farukh Mehmood Seyal,IND,Study Table with chair (263),"2,148",,,,,,,,
,Khalid MoBee (24)n,JUIF,Book (31),"1,530",,,,,,,,
,Mukhtar Ali,TLI,Cannon (51),"1,286",,,,,,,,
,Sohail Abbas Raja,IND,Peacock (194),737,,,,,,,,
,Zafar Mehmod Chaudhry,IND,Screw Driver (237),667,,,,,,,,
,Gul Ikhlaq Hussain,IND,Tooth Brush (287),599,,,,,,,,
,Junaid Mehmood,IND,Clock (60),591,,,,,,,,
,Azmat Ali Kiyani,PMML,Chair (55),323,,,,,,,,
,Sajid Mehmood Janjua,IND,Key With Lock (156),295,,,,,,,,
,Naveed Qurban,IND,Cricket Stumps (73),293,,,,,,,,
,Tahir Jamil,IND,Aeroplane (2),193,,,,,,,,
,Sajjad Ahmad,IND,Swallow (267),98,,,,,,,,
,Raja Qamar Ul Islam,PML-N,Tiger (284),"72,006",,,,,,,,
,Chaudhary Nisar Ali Khan,IND,Aeroplane (2),"44,072",,,,,,,,
,Chaudhry Zaheer Mehmood,IND,T Shirt (301),45,,,,,,,,
,Muhammad Taimoor Khalid,TLP,Crane (71),"21,522",,,,,,,,
,Muhammad Arif,JIP,Scale (232),"2,957",,,,,,,,
,Raja Ishtiaq Ahmed,IND,Table (271),"2,172",,,,,,,,
,Hamid Nawaz Raja,IND,Peacock (194),"1,987",,,,,,,,
,Muhammad Husnain Haider,IND,Clock (60),"1,444",,,,,,,,
,Muhammad Ashfaq,PMML,Chair (55),844,,,,,,,,
,Raja Abdul Waheed Qasim,IND,Calculator (47),828,,,,,,,,
,Mehran Ejaz Anwar Chaudhry,IND,Cricket Stumps (73),339,,,,,,,,
,Sardar Muhammad Mansoor Khan,PAT,Motor Cycle (179),243,,,,,,,,
,RoBee (24)na Ajmal Raja,IND,Queen (211),185,,,,,,,,
,Sardar Hussain Mustafa Affandi,IND,Key With Lock (156),180,,,,,,,,
,Sohail Ahmad,IND,Battery (21),139,,,,,,,,
,Zubair Muhammad Khan,IND,Tower (291),121,,,,,,,,
,Muddasir Farid,IND,Wheel Chair (325),116,,,,,,,,
,Ajmal Sabir Raja,IND-PTI,Charpai (56),"58,476",,,,,,,,
,Munzleen,MQM-P,Kite (159),40,,,,,,,,
,Muhammad Ali Khan Yousafzai,AJP,Tumbler,15,,,,,,,,
,Aqeel Malik,IND,Clock (60),"85,912",,,,,,,,
,Azra Masood,IND-PTI,Kettle (153),"73,694",,,,,,,,
,Chaudhry Nisar Ali Khan,IND,Aeroplane (2),"19,093",,,,,,,,
,Ghulam Sarwar Khan,IPP,Eagle (93),"16,889",,,,,,,,
,Tahir Mehmood,TLP,Crane (71),"13,277",,,,,,,,
,Shamas Ur Rehman,JIP,Scale (232),"5,285",,,,,,,,
,Zeeshan Siddique Butt,IND,Swallow (267),"3,893",,,,,,,,
,Abdul Hakeem Farooqi,PRHP,Iron (147),"3,317",,,,,,,,
,Syed Qamar Abbas,PPPP,Arrow (12),"2,365",,,,,,,,
,Safeer Alam,JUIF,Book (31),"1,433",,,,,,,,
,Muhammad Sarwar,IND,Sheep (241),"1,368",,,,,,,,
,Malik Taimur Masood,IND,Dhol (81),765,,,,,,,,
,Wajid Kiyani,PNP,Railway Engine (216),472,,,,,,,,
,Mudassar Hussain Shah,PAT,Motor Cycle (179),407,,,,,,,,
,Hafiz Muhammad Rizwan,PMML,Chair (55),370,,,,,,,,
,Farkhanda Koukeb,IND,Sofa (249),301,,,,,,,,
,Syed Ishrat Ali Zaidi,IND,Cricket Stumps (73),222,,,,,,,,
,Malik Touqeer Ali Mardan,IND,Dove (88),200,,,,,,,,
,Ihtisham Iqbal,IND,Green Chilli (126),191,,,,,,,,
,Nourman Tariq,IND,Lunch Box (170),185,,,,,,,,
,Khawaja Muhammad Imtiaz,IND,Charpai (56),176,,,,,,,,
,Zubair Farooq Khan,IND,Brinjal (37),176,,,,,,,,
,Malik Azhar Mehmood,IND,Key With Lock (156),126,,,,,,,,
,Ejaz Asghar,IND,Phole Gobhi,106,,,,,,,,
,Sultan Mehmood,IND,Pineapple (203),96,,,,,,,,
,Wajid Murtaza,IND,Brick (35),83,,,,,,,,
,Barkat Ullah,IND,Wash Basin (316),76,,,,,,,,
,Ajmal Khan,IND,Coconut (62),69,,,,,,,,
,Ajmal Sabir Raja,IND,Papaya,41,,,,,,,,
,RoBee (24)na Ajmal Raja,IND,Orange (188),36,,,,,,,,
,Ibrar Ahmad,PML-N,Tiger (284),"78,542",,,,,,,,
,Muhammad Basharat Raja,IND-PTI,Kettle (153),"67,101",,,,,,,,
,Aamer Masood,IND,Stethoscope (260),"7,201",,,,,,,,
,Umer Ali,JUIF,Book (31),"3,470",,,,,,,,
,Babar Sultan Jadoon,PPPP,Arrow (12),"2,472",,,,,,,,
,Sheikh Tariq Masood,IND,Tap (277),"1,385",,,,,,,,
,Arif Hussain Shah,JIP,Scale (232),"1,215",,,,,,,,
,Rizwan Majeed Butt,IND,Battery (21),"1,121",,,,,,,,
,Umair Tanveer Butt,IND,Racket (214),877,,,,,,,,
,Faisal Ul Hassan Khan,TLP,Crane (71),877,,,,,,,,
,Aamer Mehmood Kiani,IND,Hukkah (141),870,,,,,,,,
,Razziq Mehmood Bhatti,MQM-P,Kite (159),811,,,,,,,,
,Inam Malik,IND,Black Board (29),811,,,,,,,,
,Ziad Khaliq Kayani,IND,Medal (173),714,,,,,,,,
,Afzaal Hussain,IND,Badge (16),704,,,,,,,,
,Raja Imran Hussain,IND,Bowl (34),642,,,,,,,,
,Atif Riaz,IND,Water Cooler (317),457,,,,,,,,
,Umar Tanveer,IND,Plug,304,,,,,,,,
,Zahid Iqbal BakhTawa (278)ri,TDP,Bow (33),201,,,,,,,,
,Nasir Mehmood,PAL,Hockey (136),167,,,,,,,,
,Muhammab Nabi,ANP,Lantern (162),152,,,,,,,,
,Maqsood Ahmad,JUIPIN,Chitrali Cap,147,,,,,,,,
,Muhammad Nasir Raja,IND,Radio (215),140,,,,,,,,
,Nasir Hayat,IND,Sofa (249),137,,,,,,,,
,Nargis JaBee (24)n,IPP,Eagle (93),128,,,,,,,,
,Muhammad Muqarrab Ali,IND,Dolphin (85),104,,,,,,,,
,Qazi Noor Ul Islam Qureshi,IND,Swallow (267),57,,,,,,,,
,Muhammad Ijaz Ul Haq,PML-Z,Helicopter,25,,,,,,,,
,Sardar Abdul Raziq Khan,IND,Table (271),22,,,,,,,,
,Aizaz Asid,IND,Bee (24),1,,,,,,,,
,Mehran Ejaz Anwar Chaudhry,IND,Mic (174),1,,,,,,,,
,Jahangir Ahmed Butt,IND,Brush (38),1,,,,,,,,
,Muhammad Hanif Abbasi,PML-N,Tiger (284),"96,649",,,,,,,,
,Shehryar Riaz,IND-PTI,Tower (291),"82,613",,,,,,,,
,Sajjad Akbar Abbasi,TLP,Crown (75),"9,432",,,,,,,,
,Sheikh Rashid Ahmed,AML,Inkpot With Pen,"5,725",,,,,,,,
,Sumaira Gul,PPPP,Arrow (12),"4,847",,,,,,,,
,Muhammad Zia Ur Rehman Amazai,JUIF,Book (31),"1,869",,,,,,,,
,IPP,IPP,Eagle (93),"1,275",,,,,,,,
,Asghar Ali Mubarak,IND,Sheep (241),963,,,,,,,,
,Waheed Akbar,IND,Clock (60),772,,,,,,,,
,Ijaz Khan,IND,Bench (26),569,,,,,,,,
,Muhammad Anil Babur,IND,Lap Top (288),555,,,,,,,,
,Fasieh Tajammal,IND,Parachute (192),555,,,,,,,,
,Syed Mazhar ALi,PAL,Hockey (136),279,,,,,,,,
,Abdullah Abbasi,PNP,Railway Engine (216),272,,,,,,,,
,Shazda Imran,IND,Hand Pump (130),250,,,,,,,,
,Raja Arshad Mahmood,IND,Hukkah (141),172,,,,,,,,
,Sheeraz Khan,IND,Black Board (29),162,,,,,,,,
,Muhammad Nadeem,PAT,Motor Cycle (179),152,,,,,,,,
,Ashir Tanveer,IND,Mic (174),144,,,,,,,,
,Talha Afrasiab Raja,IND,Rabab (212),128,,,,,,,,
,Babar Mehmood Khan,IND,Peacock (194),111,,,,,,,,
,Abid Hussain,MQM-P,Kite (159),95,,,,,,,,
,DaBee (24)r Ahmed Khan,IND,Table (271),82,,,,,,,,
,Hamza Majid Bazmi,IND,Swallow (267),74,,,,,,,,
,Raja Rasjid Hafeez,IND,Slate (248),73,,,,,,,,
,Raja Nasir Mehfooz,IND,Dolphin (85),67,,,,,,,,
,Mian Imran Hayat,IND,Duck (92),52,,,,,,,,
,Ajab Khan,IND,Still Camera (261),52,,,,,,,,
