Constituency,Candidates,Sign,Party,Votes
PS-76,Muhammad Umar Nahyo,Boat (30),KS,539
PS-76,Aashique Hussain,,IND,383
PS-77,Murad Ali Shah,Arrow (12),PPP,74613
PS-77,Roshan Ali Buriro,Star (259),GDA,10268
PS-77,Muhammad Farooq,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,2899
PS-77,Manzoor Ahmad Halepoto,Crane (71),TLP,1450
PS-77,Syed Muhammad Ali Shah,,IND,974
PS-77,Dhani Bux Shah,,IND,757
PS-77,Nadeem Ahmed,Tent (282),MML,133
PS-77,Ali Abbas,,IND,130
PS-77,Ghulam Mujtaba Shah,,IND,130
PS-77,Abdul Haleem,,IND,84
PS-77,Ghulam Asghar Chandio,,IND,63
PS-77,Abdul Rahim,,IND,55
PS-77,Faheem Khaskheli,,IND,39
PS-77,Abdul Nabi Shah (Shah Hussain),,IND,33
PS-77,Meer Hassan Panhar,,IND,21
PS-77,Ghulam Murtaza Solangi,,IND,20
PS-78,Dr. Sikandar Ali Shoro,Arrow (12),PPP,51188
PS-78,Syed Muneer Haider,Star (259),GDA,10850
PS-78,Zahid Ali,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,4538
PS-78,Shabnam Shakeel Ahmad,Scale (232),JIP,821
PS-78,Badaruddin,Crane (71),TLP,802
PS-78,Kahkashan,,IND,750
PS-78,Muhammad Jawaid,,IND,410
PS-78,Sadaf Raza Warraich,Tiger (284),PML-N,300
PS-78,Aijaz Ali,Tent (282),MML,145
PS-78,Muhammad Sadiq Shoro,,IND,82
PS-78,Roshan Ali Buriro,,IND,64
PS-78,Shakeel Umar,,IND,57
PS-78,Mushtaq Ahmad Abbasi,,IND,54
PS-78,Shahruk,,IND,47
PS-79,Malik Sikander Khan,Arrow (12),PPP,42959
PS-79,Malik Changez Khan,,IND,7849
PS-79,Peer Murtaza Shah,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,5376
PS-79,Meer Ahmad,Star (259),GDA,1442
PS-79,Abdul Sattar Soomro,Crane (71),TLP,1090
PS-79,Dayo Mal Dayo,,IND,691
PS-79,Razia,Book (31),JUIF,578
PS-79,Wahab Uddin Palari,,IND,382
PS-79,Pardeep Kumar,,IND,265
PS-79,Nawab Khan,,IND,179
PS-79,Javed Akhtar,,IND,166
PS-79,Muhammad Tayyab Jan,Iron (147),PRP,152
PS-79,Shaheena Parveen,,IND,147
PS-79,Mian Khan,,IND,129
PS-79,Abdul Malik Talpur,Tent (282),MML,120
PS-79,Aijaz Rind,,IND,62
PS-80,Abdul Aziz Junejo,Arrow (12),PPP,52131
PS-80,Karim Ali Jatoi,Star (259),GDA,43815
PS-80,Ghulam Qadir,,IND,1592
PS-80,Taj Muhammad,Book (31),JUIF,1338
PS-80,Bashir Sodhar,Crane (71),TLP,789
PS-80,Shahid Hussain Shah,Kite (159),MQM-P,597
PS-80,Mir Murtaza,Scale (232),JIP,480
PS-80,Zahid Hussain Gadehi,Tent (282),MML,341
PS-80,Asghar Ali Sheikh,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,333
PS-80,Ameer Hamza Jotoi,,IND,191
PS-80,Asghar Ali,,IND,99
PS-80,Zubair Ahmad Junejo,,IND,77
PS-81,Fayyaz Ali Butt,Arrow (12),PPP,54338
PS-81,Liaquat Ali Jatoi,Star (259),GDA,46963
PS-81,Parveen,Crane (71),TLP,420
PS-81,Abdullah,Scale (232),JIP,319
PS-81,Muhammad Masood Panhwer,Book (31),JUIF,258
PS-81,Talib Hussain Panhwar,Kite (159),MQM-P,192
PS-81,Nabi Bux Jatoi,,IND,124
PS-81,Imtiaz Ali Butt,,IND,116
PS-81,Madad Ali Sodhar,,IND,109
PS-81,Abdul Majeed,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,83
PS-81,Zulfiquar Ali,Fist (105),PPP-SB,67
PS-81,Yaseen Mahesar,,JUPIN,59
PS-81,Muhammad Aslam Chandio,,IND,32
PS-81,Qazi Abdul Waheed Mahesar,,IND,27
PS-81,Abbas Ali,,IND,25
PS-81,Muhammad Ismail Siyal,,IND,21
PS-82,Pir Mujib ul Haq,Arrow (12),PPP,44565
PS-82,Ashique Ali Zounr,Star (259),GDA,19618
PS-82,Mushtaq Ahmad Abro,Crane (71),TLP,2990
PS-82,Zulfiqar Ali Mallah,CAKE کیک,IND-PTI,2642
PS-82,Aftab Ahmad,,IND,2466
PS-82,syed Ameer Ahmad,,IND,968
PS-82,Zameer Ahmad,Scale (232),JIP,957
PS-82,Shahid Ali zounr,,IND,527
PS-82,Imtiaz Ali,,IND,417
PS-82,Shahbaz Ali,,IND,256
PS-82,Shahid Ali,Kite (159),MQM-P,213
PS-82,Zaheer Ahmad,,IND,152
PS-82,Muhammad Qasim,,IND,146
PS-82,Javeed Ali Lund,,IND,141
PS-82,Karim Bux Siddiqui,Eagle (93),IPP,120
PS-82,Muhammad Ali Solangi,,IND,109
PS-82,Shahzad,,IND,76
PS-82,Safdar Hussain,,IND,66
PS-82,Mir Shujaullah Panhwar,,IND,58
PS-82,Ghulam Hyder Khoso,,IND,28
PS-82,Lal Bux,,IND,24
PS-83,Pir Syed Saleh Shah Jilani,Arrow (12),PPP,48944
PS-83,Imdad Hussain Leghari,Star (259),GDA,20712
PS-83,Pyaro Lund,,IND,6541
PS-83,Parial Khan Jamali,,IND,5983
PS-83,Sher Muhammad Babar,,IND,3247
PS-83,Abdul Karim Jamali,Crane (71),TLP,2016
PS-83,Ali Anwar Panhwar,DOLPHIN ڈولفن,IND-PTI,1301
PS-83,Sadique Ali Lund,Book (31),JUIF,1021
PS-83,Shah Passand,,JWP,639
PS-83,Muhammad Amin,Tent (282),MML,573
PS-83,Dr. Banda Ali Leghari,,IND,468
PS-83,Muhammad Bux Lund,Kite (159),MQM-P,280
PS-83,Ghullam Nabi,,IND,197
PS-83,Shakir Khan Shahani,,IND,190
PS-83,Abdul Majeed Solangi,,IND,149
PS-83,Shah Mureed Shah,,IND,114
PS-83,Syed Zafar Ali Shah,,IND,85
PS-83,Mir Shujaullah Panhwar,,IND,76
PS-84,Muhammad Yousuf Baloch,Arrow (12),PPP,25348
PS-84,Zain Ul Abedin Kolachi,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,13437
PS-84,Saqib Hussain Ansari,Scale (232),JIP,8311
PS-84,Khurram Abbas,Tiger (284),PML-N,4018
PS-84,Ghulam Akbar,Crane (71),TLP,1829
PS-84,Abdul Ghani Jokhio,,IND,1372
PS-84,Tariq Ali,Star (259),GDA,410
PS-84,Qamar Uddin,,IND,406
PS-84,Syed Danish Habibullah,,IND,301
PS-84,Akhlaq Ahmed Baloch,,IND,201
PS-84,Ammar Abdullah Rafiq,Tent (282),MML,82
PS-84,Nazim Iqbal,,IND,73
PS-84,Zahid Shafi,,IND,61
PS-84,Sajid Mahmood,Lantern (162),ANP,55
PS-84,Yasir Ali Junejo,,IND,47
PS-84,Sabir Ali,,IND,30
PS-85,Muhammad Sajid,Arrow (12),PPP,27791
PS-85,Pir Hafeez Ullah,Tiger (284),PML-N,14304
PS-85,Mehwish Hassan Rao,TABLE TENNIS BAT ٹیبل ٹینس کا بیٹ,IND-PTI,9222
PS-85,Faiz Ahmed Faiz,Scale (232),JIP,4271
PS-85,Dilbar Shah,Crane (71),TLP,3398
PS-85,Jameela,,IND,2482
PS-85,Ali Muhammad,,IND,259
PS-85,Sardar Muhammad Khan,,IND,248
PS-85,Muhammad Ayub,Lantern (162),ANP,177
PS-85,Mohsin Nisar,,IND,127
PS-85,Adam Khan,Tent (282),MML,76
PS-85,Abdul Qadir Shar,Star (259),GDA,76
PS-85,Usman Haider,,PFP,74
PS-85,Qadir Bux,,IND,60
PS-85,Noor Hassan,,IND,48
PS-85,Urooj,,IND,43
PS-85,Shaukat Ali Jatt,,IND,40
PS-85,Junaid Anwar,,IND,38
PS-85,Abdul Hafeez Jokhio,,IND,34
PS-85,Sabir Imran,Tent (282),MWM,30
PS-85,Abdul Qayum,,IND,27
PS-85,Imran Ahmed,,IND,24
PS-85,Meharban Shah,,IND,14
PS-85,Imran Nazir,,IND,13
PS-85,Imdad Ali,,IND,10
PS-85,Muhammad Ismail Gabol,,IND,9
PS-85,Inayat Ullah,,IND,7
PS-85,Ayaz Ali Siyal,,IND,4
PS-86,Abdul Razaq Raja,Arrow (12),PPP,15017
PS-86,Muhammad Yaqoob,Tiger (284),PML-N,6633
PS-86,Muhammad Hanif,HUKKAH حقہ,IND-PTI,4010
PS-86,Khalid Khan,Scale (232),JIP,3359
PS-86,Muhammad Afzal,Crane (71),TLP,1965
PS-86,Muhammad Umer,,IND,825
PS-86,Gulzar Ali Jiskani,,IND,291
PS-86,Muhammad Zubair,,IND,214
PS-86,Muhammad Haris,Lantern (162),ANP,155
PS-86,Mushtaq Ahmed Buriro,,IND,123
PS-86,Muhammad Bilal,Tent (282),MML,67
PS-86,Jamshed Iqbal,,BPP,59
PS-86,Irfan Yaqoob,,IND,48
PS-86,Mir Murtaza Husain Shar,Star (259),GDA,31
PS-86,Muhammad Owais,,IND,27
PS-86,Nazia Khan,,IND,25
PS-86,Zubair Khan,,IND,25
PS-86,Fida Hussain,Butterfly (44),HQM,23
PS-86,Ghulam Akbar,,IND,22
PS-86,Rashid Nawaz,,IND,22
PS-86,Muhammad Rafiq,,IND,19
PS-86,Muhammad Rehan,,IND,17
PS-86,Abdul Moiz,,IND,13
PS-86,Yasir Haider,,IND,13
PS-87,Mahmood Alam Jamot,Arrow (12),PPP,19220
PS-87,Tause Khan,KETTLE کیتلی,IND-PTI,7703
PS-87,Mehran Ali Shah,Tiger (284),PML-N,7048
PS-87,Mohai Uddin Shah,Iron (147),PRP,6665
PS-87,Miraj Muhammad Khan,Scale (232),JIP,3120
PS-87,Hafiz Muhammad Imran,Crane (71),TLP,1521
PS-87,Abdul Rehman Khan Yousuf Zai,Lantern (162),ANP,464
PS-87,Muhammad Sajid,,IND,251
PS-87,Muhammad Arif Ali Khan,Tree (295),PKMAP,133
PS-87,Sheryar Khan,,IND,129
PS-87,Shams Ur Rehman,,IND,117
PS-87,Ali Hussain,,IND,91
PS-87,Aamir Aijaz,,IND,73
PS-87,Rozi Khan,,SKQM,71
PS-87,Kiran Masood,Kite (159),MQM-P,62
PS-87,Fozia Kausar,Star (259),GDA,50
PS-87,Muhammad Arif Khan,Fish (104),PMA,42
PS-87,Syed Ajmal Shah,,IND,39
PS-87,Ghaws Ul Hassan,,IND,14
PS-88,Ajaz Khan,CLOCK گھڑیال,IND-PTI,17580
PS-88,Syed Muzammil Shah,Arrow (12),PPP,12762
PS-88,Muhammad Firoz,Tiger (284),PML-N,7273
PS-88,Muhammad Nawaz,Scale (232),JIP,5339
PS-88,Khursheed Ali,Book (31),JUIF,4082
PS-88,Nazim Uddin Baloch,,IND,3263
PS-88,Saleem Khan Ghouri,Crane (71),TLP,1831
PS-88,Mohai Uddin Shah,Iron (147),PRP,1637
PS-88,Aijaz Ahmed,,IND,1183
PS-88,Dost Muhammad Khan,,IND,989
PS-88,Siraj Ahmed,Lantern (162),ANP,954
PS-88,Arshad,,IND,730
PS-88,Muhammad Yousaf,,SKQM,401
PS-88,Ahsan Ullah Shah,Butterfly (44),HQM,172
PS-88,Ahsan Khattak,,IND,159
PS-88,Bilal Khan Niyazi,,IND,152
PS-88,Shahid Khan,,IND,136
PS-88,Rashid Nawaz,,IND,75
PS-88,Muhammad Pervez,,IND,73
PS-88,Akhtar Zada,,IND,43
PS-88,Tariq Shamsi,,IND,32
PS-89,Muhammad Saleem,Arrow (12),PPP,25326
PS-89,Ahsan Khattak,RACKET ریکٹ,IND-PTI,15768
PS-89,Shoaib Haider,Scale (232),JIP,7223
PS-89,Khalid Latif,Crane (71),TLP,5843
PS-89,Hamid Uz Zafar,Kite (159),MQM-P,4139
PS-89,Moin Uddin Junaidi,,IND,2522
PS-89,Ejaz Ahmed,Tiger (284),PML-N,2501
PS-89,Muhammad Ashraf Samoo,,IND,1701
PS-89,Syed Shahid Ali Shah,,IND,1623
PS-89,Shakeel Ahmed,Iron (147),PRP,804
PS-89,Muhammad Afzal Zaib,,IND,683
PS-89,Syed Ali Abbas Abidi,,IND,567
PS-89,Sheezan,,IND,396
PS-89,Hafeez Ullah Khan,,SKQM,339
PS-89,Muhammad Anees,Tent (282),MML,251
PS-89,Syed Ata Muhammad Taran,,IND,227
PS-89,Hafeez Ur Rehman,,IND,203
PS-89,Syed Nasir Abbas,,IND,195
PS-89,Noor Ahmed,,IND,186
PS-89,Syed Yawar Abbas Zaidi,Eagle (93),IPP,144
PS-89,Raza Muhammad,Lantern (162),ANP,141
PS-89,Muhammad Babar Ansari,,IND,99
PS-89,Syed Aftab Alam,,IND,95
PS-89,Abdul Razzaq Zuberi Chishti,,JUI-N,89
PS-89,Muhammad Ashraf,,IND,72
PS-89,Noshad Ahmad Farooqi,Candle (50),MQM,59
PS-89,Saddam Hussain,,IND,54
PS-89,Muhammad Ilyas Chishti,,PML-Qayyum,51
PS-89,Tariq Aziz,,IND,46
PS-89,Liaqat Ali,,IND,42
PS-89,Muhammad Rizwan Khan,,IND,33
PS-89,Zulfiqar Haider,,IND,27
PS-89,Jasim Rohani,,IND,25
PS-89,Mastan Khan,,IND,24
PS-89,Bashir Muhammad,,IND,19
PS-89,Muhammad Ajaz Raza,,IND,18
PS-89,Waheed Khan,,IND,18
PS-89,Muhammad Akber,,IND,17
PS-89,Naeem Akhter,,IND,13
PS-89,Syed Ahsan Abbas,,IND,10
PS-89,Abdul Rehman,,IND,9
PS-89,Muhammad Azeem,,IND,9
PS-90,Shariq Jamal,Kite (159),MQM-P,35609
PS-90,Waqas Iqbal,DISH ANTENNA ڈش انٹینا,IND-PTI,32645
PS-90,Muhammad Wasim Mirza,Scale (232),JIP,27563
PS-90,Kashif Ali Khan,Crane (71),TLP,9619
PS-90,Ashraf Waheed,,IND,2972
PS-90,Shabnam Nasir,Arrow (12),PPP,2744
PS-90,Mian Muhammad Iqbal Tahir,Tiger (284),PML-N,1357
PS-90,Khurram Maqsood,Candle (50),MQM,539
PS-90,Abdul Saad,,IND,335
PS-90,Hassan Ali Katiyar,,IND,326
PS-90,Muhammad Arif,,JUPIN,318
PS-90,Abdul Faheem,,IND,272
PS-90,Saadullah Khan,,IND,262
PS-90,Ahsan Ali,,IND,205
PS-90,Syed Imran Haider Abdi,,IND,170
PS-90,Abdullah,,IND,150
PS-90,Mati Ullah,Tent (282),MML,136
PS-90,Shiekh Sumair Bin Azhar,,IND,130
PS-90,Ashfaq Ahmed Mangi,,IND,108
PS-90,Syed Akbar Shah Mewati,,IND,101
PS-90,Rehan Mohsin Khan,,IND,92
PS-90,Muhammad Saif Ullah,,IND,91
PS-90,Syed Shahrukh Hussain,,IND,88
PS-90,Sana Ullah Qureshi,,IND,86
PS-90,Muhammad Tariq Rana,,IND,82
PS-90,Muhammad Imran Siddiqui,,IND,78
PS-90,Mazhar Tariq,,IND,61
PS-90,Syed Zaman Ali Jafri,,IND,53
PS-90,Shah Rukh,,IND,47
PS-90,Muhammad Tariq,,IND,43
PS-90,Syed Sajid Tirmizi,,IND,43
PS-91,Muhammad Farooq,Scale (232),JIP,23499
PS-91,Abid Jilani,,IND,22732
PS-91,Rehan Ahmed,,IND,6194
PS-91,Muhammad Abubakar,Kite (159),MQM-P,5708
PS-91,Syed Hammad Hussain,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,5024
PS-91,Nasir Uddin Mahmood,Tiger (284),PML-N,3702
PS-91,Muhammad Aftab Khan,Crane (71),TLP,3138
PS-91,Rehman Waheed Bajwa,Arrow (12),PPP,1836
PS-91,Mohammad Aftab Uddin Baqai,,IND,665
PS-91,Arif Azam,,IND,522
PS-91,Abdul Rehman,,IND,485
PS-91,Sheikh Jamil Ahmed,Candle (50),MQM,345
PS-91,Syed Abdul Rafay,Iron (147),PRP,282
PS-91,Noman Khan,Tent (282),MML,212
PS-91,Muhammad Affan,,IND,150
PS-91,Zeeshan Abbas Malik,Eagle (93),IPP,96
PS-91,Fayyaz Ahmed Tabassum,Motorcycle (179),PAT,94
PS-91,Saifullah,Star (259),GDA,88
PS-91,Ahsan Ali,,IND,83
PS-91,Mansoor Khan,,IND,80
PS-91,Adeel Azam,,IND,71
PS-91,Muhammad Pervez,,IND,54
PS-91,Nabeel Ahmed Khan,,IND,53
PS-91,Shahid Nawaz,,IND,47
PS-91,Pervaiz Ahmed,,IND,39
PS-91,Muhammad Saleem Raza Attari,,IND,37
PS-91,Hafiz Saad Yousuf,,IND,34
PS-91,Muhammad Abdul Qadeer Shareef,,IND,34
PS-91,Muhammad Asad Usmani,,IND,34
PS-91,Nargis Khan,,PDP,30
PS-91,Imam Bux,,IND,25
PS-92,Wajid Hussain Khan,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,28276
PS-92,Mirza Farhan Baig,Scale (232),JIP,20830
PS-92,Arsalan Ahmed,Kite (159),MQM-P,10795
PS-92,Muhammad Kashif,Crane (71),TLP,7465
PS-92,Nighat Fatima,Candle (50),MQM,6994
PS-92,Shagufta Rafiq,,IND,6816
PS-92,Muhammad Rehan,Arrow (12),PPP,3310
PS-92,Muhammad Furqan,Iron (147),PRP,1067
PS-92,Muhammad Rafique,Tiger (284),PML-N,875
PS-92,Shakil Ahmed,,IND,480
PS-92,Jawaid Iqbal,,IND,402
PS-92,Naveed Abbas,,IND,314
PS-92,Muhammad Ali Patail,,IND,295
PS-92,Mansab Dar,,IND,283
PS-92,Nazimuddin,,IND,208
PS-92,Intekhab Alam,,IND,136
PS-92,Yameen,,IND,128
PS-92,Abdul Rehman,,IND,97
PS-92,Shukat Ali Khan Alizai,,IND,79
PS-92,Aurangzaib Khan,,IND,68
PS-92,Aminuddin,,IND,66
PS-92,Abdul Haq Khan,,IND,63
PS-93,Sajid Hussain,STILL CAMERA سٹل کیمرہ,IND-PTI,20372
PS-93,Abdul Hafeez,Scale (232),JIP,10832
PS-93,Javed Shaikh,Arrow (12),PPP,8920
PS-93,Yasir Uddin,Kite (159),MQM-P,7669
PS-93,Waqas Ali,Crane (71),TLP,6180
PS-93,Waleed Farough,,IND,1828
PS-93,Younus,Iron (147),PRP,1286
PS-93,Muhammad Shams Ur Rehman,Tiger (284),PML-N,1052
PS-93,Shafiq Ahmed,,IND,860
PS-93,Hasnain Ali,Candle (50),MQM,415
PS-93,Muhammad Hassan,,IND,277
PS-93,Tahir Hameed,,IND,268
PS-93,Saeeda Ali Bukhari,,IND,239
PS-93,Ali Nawab,Eagle (93),IPP,194
PS-93,Muhammad Adil,,IND,177
PS-93,Ahmed Raza,,IND,167
PS-93,Muzzamil Mumtaz,,IND,157
PS-93,Uzma Kamran,Star (259),GDA,154
PS-93,Muhammad Zahoor,,IND,132
PS-93,Shamsul Arfeen,,IND,131
PS-93,Muhammad Hayat,,IND,124
PS-93,Shehzada Saleem,,IND,109
PS-93,Khurram Shahid,Tractor (292),PML,101
PS-93,Shabbir Ahmed Qaimkhani,,IND,96
PS-93,Muhammad Imran,,IND,79
PS-93,Syed Akhtar Ali,,IND,66
PS-93,Shaheen Khan,,IND,44
PS-93,Mubashir Iqbal Qureshi,,IND,26
PS-94,Najam Mirza,Kite (159),MQM-P,24161
PS-94,Arshad Hussain,Scale (232),JIP,19633
PS-94,Abdul Qadeer,STILL CAMERA سٹل کیمرہ,IND-PTI,19024
PS-94,Muhammad Qasim,Crane (71),TLP,10203
PS-94,Imran Ahmed Siddiqui,Arrow (12),PPP,4173
PS-94,Mirza Reaz Hussain,,IND,1772
PS-94,Syed Mehmood Ali,,IND,1663
PS-94,Abdul Imran,Tiger (284),PML-N,1261
PS-94,Sheraz Hussain Shaikh,Iron (147),PRP,844
PS-94,Noor Muhammad Hameed,Candle (50),MQM,435
PS-94,Muhammad Faizan Azeez,,IND,371
PS-94,Muhammad Mazhar Jaffar,,BPP,336
PS-94,Malik Shahzain Ahmed,,IND,330
PS-94,Muhammad Bilal,,IND,198
PS-94,Muhammad Umair Shakeel,Tent (282),MML,184
PS-94,Syed Mahmood Saeed,,IND,182
PS-94,Muhammad Ali Khan,,IND,172
PS-94,Faisal Ali Baloch,Star (259),GDA,141
PS-94,Faizan Ahmed Butt,,IND,108
PS-94,Rajab Ali Chishti,,JUPIN,90
PS-94,Muhammad Iqbal,,IND,69
PS-94,Naveed Saleem,,IND,61
PS-94,Syed Ahmer Ali,,IND,54
PS-94,Muhammad Jibran Haider,,IND,40
PS-95,Sarfaraz Asghar,,PIRP,
PS-95,Muhammad Farooq Awan,Arrow (12),PPP,16386
PS-95,Raja Azhar Khan,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,11027
PS-95,Mansoor Feroz,Scale (232),JIP,7118
PS-95,Shamshad Khan,Kite (159),MQM-P,4045
PS-95,Muhammad Ehsan,Tiger (284),PML-N,3326
PS-95,Muhammad Atif Khan,,IND,2748
PS-95,Muhammad Hassan,Crane (71),TLP,2001
PS-95,Muhammad Younus,Iron (147),PRP,1462
PS-95,Asif Latif,,IND,369
PS-95,Ibrahim Banglani,,IND,229
PS-95,Syed Tahir Hussain Shah,,IND,111
PS-95,Abdul Shakoor Saeedi,,IND,100
PS-95,Muhammad Fareed,Candle (50),MQM,81
PS-95,Mian Muhammad Ilyas Rasheed,,IND,81
PS-95,Muhammad Ashraf Qureshi,Star (259),GDA,69
PS-95,Nadeem Sajid,Eagle (93),IPP,61
PS-95,Shazia Junaid,,IND,47
PS-95,Qurat Ul Ain Khan,,IND,43
PS-95,Usman Ghani,,IND,41
PS-95,Ghulam Nabi,,IND,39
PS-95,Israr Khan,Lantern (162),ANP,38
PS-95,Muhammad Waqas,,NDM,35
PS-95,Nasrat Ullah,,IND,32
PS-95,Saad Ullah Kalhoro,,IND,27
PS-95,Raja Sadam Khan Janjua,,IND,26
PS-95,Bibi Amna,,IND,25
PS-95,Farid Ullah,,IND,25
PS-95,Syed Ahmer Ali,,IND,22
PS-95,Fida Muhammad,,IND,20
PS-96,Muhammad Owais,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,16997
PS-96,Shafiq Ahmed,Scale (232),JIP,9644
PS-96,Muhammad Sharjeel Humayun,Arrow (12),PPP,6683
PS-96,Ali Akbar,Tiger (284),PML-N,5725
PS-96,Shabbir Ahmed Qaimkhani,Kite (159),MQM-P,4093
PS-96,Muhammad Waris Khan,Crane (71),TLP,2887
PS-96,Muhammad Danish Khan,,IND,2625
PS-96,Ameer Muavia,Iron (147),PRP,2156
PS-96,Abdul Rehman Khan,,IND,1543
PS-96,Asim Hussain,Candle (50),MQM,932
PS-96,Ahsan Khan,,SKQM,861
PS-96,Muhammad Asad,Lantern (162),ANP,669
PS-96,Waqas Khan,Star (259),GDA,512
PS-96,Syeda Shazia Toquair,,IND,378
PS-96,Rao Nadeem Ahmed,,IND,250
PS-96,Abdul Shafiq,,IND,249
PS-96,Amir Maqsood,,IND,215
PS-96,Abdul Sattar,,IND,139
PS-96,Arshad Ali Khan,,PML-Z,99
PS-96,Hazar Khan,Tent (282),MML,95
PS-96,Shaheryar Afzal,,IND,90
PS-96,Farrukh Yaseen,,IND,80
PS-96,Shah Jahan,Eagle (93),IPP,78
PS-96,Hafeez Ullah,,IND,76
PS-96,Muhammad Bilal,,IND,74
PS-96,Ismail Shah,,MOTP,65
PS-96,Muhammad Faisal Abbasi,,IND,54
PS-96,Moin Akhtar,,IND,48
PS-96,Fareed Muhammad,,IND,45
PS-96,Muhammad Imran,,IND,45
PS-96,Muhammad Farooq,,IND,44
PS-96,Muhammad Rafay Chawla,,IND,42
PS-96,Syeda Asia,,IND,40
PS-96,Adnan Hussain,,IND,33
PS-96,Rida Asim,,IND,32
PS-96,Rao Liaquat Ali,,IND,30
PS-96,Syed Abdul Rafay,,IND,14
PS-96,Abdullah Banglani,,IND,13
PS-96,Muhammad Jameel,,IND,11
PS-96,Naveed Akhter,,IND,11
PS-96,Rabnawaz Shar,,IND,10
PS-97,Shoukat Ali,Kite (159),MQM-P,4997
PS-97,Bashir Ahmed,Arrow (12),PPP,4277
PS-97,Bashir Ahmed Sodar,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,2110
PS-97,Muhammad Khalid Siddiqui,Scale (232),JIP,2004
PS-97,Fahad Shafiq,Tiger (284),PML-N,1755
PS-97,Muhammad Aslam Ghauri,Book (31),JUIF,863
PS-97,Naseeb Ullah,Crane (71),TLP,768
PS-97,Majid Khan,,IND,217
PS-97,Muhammad Sabir Siddiqui,,SKQM,210
PS-97,Ahmed Nadeem Awan,Tent (282),MML,123
PS-97,Osama Bin Iqbal,,IND,123
PS-97,Muhammad Rahim,,IND,105
PS-97,Manzoor Barfat,,IND,66
PS-97,Maqsood Ali,,IND,47
PS-97,Rajab Ali,Boat (30),KS,41
PS-97,Saeed Khan,Motorcycle (179),PAT,32
PS-97,Adam Khan,,IND,28
PS-97,Liaquat Khan,,IND,26
PS-97,Syed Uzair Ali,Star (259),GDA,25
PS-97,Habib Ullah,,IND,24
PS-97,Noor Ullah,Lantern (162),ANP,23
PS-97,Abdullah,,JUP-S,22
PS-97,Muhammad Ali,,IND,21
PS-97,Awal Khan,,IND,18
PS-97,Rehan Soomro,,IND,17
PS-97,Aslam Shah,,IND,15
PS-97,Muhammad Ghayas,,IND,14
PS-97,Muhammad Jameel,,IND,13
PS-97,Pandhi Khan,,IND,13
PS-97,Noor Ullah,,IND,8
PS-97,Taj Muhammad,,IND,8
PS-97,Jalil Ahmed Mugheri,,IND,7
PS-97,Amir Bux,,IND,6
PS-97,Noor Zaman,,IND,6
PS-97,Amanullah Khan,,IND,5
PS-97,Hayat Ullah,,IND,5
PS-97,Muhammad Mazhar Saeed,,IND,5
PS-97,Abdul Sattar,,IND,4
PS-98,Abu Muhammad Farhan Syed,Crane (71),TLP,
PS-98,Muhammad Ali Murtaza,Iron (147),PRP,
PS-98,Dedar Ali,Fist (105),PPP-SB,
PS-98,Abdul Qayyum,Tent (282),MML,
PS-98,Syed Ali Hussain,Eagle (93),IPP,
PS-98,Piyaro Khan Phulpoto,Star (259),GDA,
PS-98,Arsalan Perwaiz,Kite (159),MQM-P,13903
PS-98,Hammad Ullah Khan,Scale (232),JIP,5551
PS-98,Jansher Junejo,LAPTOP لیپ ٹاپ,IND-PTI,4450
PS-98,Hakim Ali Jiskani,Arrow (12),PPP,3923
PS-98,Karim Bux Gabol,Tiger (284),PML-N,857
PS-98,Rahman Dino Mahesar,,IND,46
PS-99,Syed Farhan Ansari,Kite (159),MQM-P,26658
PS-99,Muhammad Yunus Barai,Scale (232),JIP,22321
PS-99,Masti Khan Masood,Arrow (12),PPP,7337
PS-99,Zain Pervez,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,5038
PS-99,Abdul Rahim,Crane (71),TLP,4708
PS-99,Muhammad Amin,Tiger (284),PML-N,1493
PS-99,Sher Muhammad,,MOTP,371
PS-99,Syed Wajhi Ul Abbas,,IND,348
PS-99,Shahid Hussain,,IND,344
PS-99,Shahid Ahmed,,IND,301
PS-99,Muhammad Yousuf Khan,Tent (282),MML,257
PS-99,Muhammad Arsalan Khan,,IND,234
PS-99,Muhammad Irfan Rasool,,IND,216
PS-99,Arifullah,,IND,184
PS-99,Muhammad Shoaib,Iron (147),PRP,164
PS-99,Abdul Rahim Khan,,IND,163
PS-99,Syed Haris Nadeem,,PCP,70
PS-99,Bilal Ahmed Bhutto,,IND,61
PS-99,Erum Saleem,,IND,59
PS-99,Syed Aleem Uddin Ali,,IND,49
PS-99,Syed Ashraf Hameed,,IND,45
PS-99,Syed Adeeb Haider,,IND,38
PS-99,Amanullah Khan,,IND,37
PS-99,Syed Umair Uddin Hussain,,IND,23
PS-99,Naqeebullah,,IND,7
