KPK Assembly,Name of candidate,Party Affiliation,Symbol allocated,Number of Votes Polled,Casted men,Casted Women,Rejected Votes,Number of Votes Polled,Registered Males,Registered Females,total voters registered,Turnout %
PK-22,Ijaz Khan,Independent,Aeroplane (2),,,,,,,,,
PK-22,Aurang Zeb Khan,Independent,Laptop(163),,,,,,,,,
PK-22,Hayatullah,Independent,Charpai (56),,,,,,,,,
PK-22,Rehan Zeb,Independent,Tap (277),,,,,,,,,
PK-22,Siraj Uddin,Jamaat-e-Islami Pakistan,Scale (232),,,,,,,,,
PK-22,Shah Naseer Khan,Awami National Party,Lantern (162),,,,,,,,,
PK-22,Abdullah Shah,Pakistan Peoples Party Parliamentarian,Arrow (12),,,,,,,,,
PK-22,Gul Dad Khan,Independent - PTI,Screw Driver (273),Election Postoned,,,,,,,,
PK-22,Gul Munir,Independent,Water Cooler (317),,,,,,,,,
PK-22,Laiq Zada,Independent,Teapot (279),,,,,,,,,
PK-22,Lali shah,Mazloom Olsi Tehreek Pakistan,Pitcher (204),,,,,,,,,
PK-22,Muhammad Imran,Jamiat Ulama-e-Islam Pakistan,Book (31),,,,,,,,,
PK-22,Muambar Khan,Independent,Dove (88),,,,,,,,,
PK-22,Nawab Zada Jalal Uddin Khan,Pakistan Tehreek-E-Insaf Parlimentarian,Turban (305),,,,,,,,,
PK-22,Noor Shah,Independent,Bowl (341,,,,,,,,,
PK-23,Akhtar Gul,Independent,Cricket strumps (73),281,,,,,,,,
PK-23,Arshad Hussain,Independent,Aeroplane (2),909,,,,,,,,
PK-23,Izhar Ullah,Awami National Party,Lantern (162),5521,,,,,,,,
PK-23,Ikram Ullah,Pakistan Tehreek-e- Insaf Parliamentariaп (PTIР),Turban (305),1557,,,,,,,,
PK-23,Babar Dawood Shah,Independent,Charpai (56),68,,,,,,,,
PK-23,Taj Bar Khan,Tehreek Labbaik Pakistan,Crane (71),778,,,,,,,,
PK-23,javed khan,Rabita Jamiat Ulma-e-Islam (RJUI),Ring (220),44,,,,,,,,
PK-23,Jamal Hussain,Independent,Bowl (34),38,,,,,,,,
PK-23,Rahman Gul,Barabri Party Pakistan,Pen (195),222,,,,,,,,
PK-23,Sultan Muhammad,Independent,Orange (188),40,,,,,,,,
PK-23,Shakeel Ahmad,Independent - PTI,Dolphin (85),51939,,,,,,,,
PK-23,Shahab Hussain,Jamaat-e-Islami Pakistan,Scale (232),8217,,,,,,,,
PK-23,Ali Rahman,Awami National Party,Oil Tanker (185),606,,,,,,,,
PK-23,Muhammad Imran,Jamiat Ulama-e-Islam Pakistan,Book (31),64420,,,,,,,,
PK-23,Muhammad Hamayun Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),23064,,,,,,,,
PK-23,Maqbool Ur Rahman Khan,Independent,Computer (67),59,,,,,,,,
PK-23,Naseer Ur Rahman,Pakistan Markazi Muslim League,Chair (55),53,,,,,,,,
PK-23,Naeem Ullah Khan,Pakistan muslim League (N),Tiger (284),1933,,,,,,,,
PK-23,Hashim Khan Majeed,Pakistan Nazriyati Party,Railway Engine (216),151,,,,,,,,
PK-24,Islam Badshah,Independent,Cricket strumps (73),41,,,,,,,,
PK-24,haq Nawaz,Jamiat Ulama-e-Islam Pakistan,Book (31),5351,,,,,,,,
PK-24,Rizwan Ullah,Jamaat-e-Islami Pakistan,Scale (232),4077,,,,,,,,
PK-24,Sabz Ali,Independent,Charpai (56),29,,,,,,,,
PK-24,Suliman Khan,Pakistan Nazriyati Party,Railway Engine (216),28,,,,,,,,
PK-24,Syed Muhammad Ali Shah,Pakistan Peoples Party Parliamentarians,Arrow (12),22191,,,,,,,,
PK-24,Shah Nawaz Khan,Qaumi Watan Party,Chiragh (Lamp) (58),13,,,,,,,,
PK-24,Aamir Sohail,Pakistan tehreek-e-insaf parliamentarian (PTIP),Turban (305),187,,,,,,,,
PK-24,Imad ud din,Mazloom Olsi Tehreek Pakistan,Pitcher (204),297,,,,,,,,
PK-24,Muhammad irshad,Awami National Party,Lantern (162),9821,,,,,,,,
PK-24,Muhammad Isal,Pakistan muslim League (N),Tiger (284),1849,,,,,,,,
PK-24,Muhammad Bilal,Independent,Racket (214),6676,,,,,,,,
PK-24,Musavir Khan,Independent - PTI,Clock (60),43193,,,,,,,,
PK-25,Ayaz Khan,Independent,Bowl (34),22,,,,,,,,
PK-25,Akbar Khan,Tehreek Jawanan Pakistan,Sun Flower (266),92,,,,,,,,
PK-25,Bakht Afsar,Awami National Party,Lantern (162),11878,,,,,,,,
PK-25,Bakht Rahman,Independent,Match box (172),667,,,,,,,,
PK-25,Riaz Khan,Independent - PTI,Clock (60),28490,,,,,,,,
PK-25,Saveera Parkash,Pakistan Peoples Party Parliamentarians,Arrow (12),1754,,,,,,,,
PK-25,Shah bakht Rawan,Independent,Teapot (279),1179,,,,,,,,
PK-25,Shahzad Akbar khan,Pakistan tehreek-e-insaf parliamentarian (PTIP),Turban (305),67,,,,,,,,
PK-25,sabir khan,Awami Workers Party,Bulb (40),528,,,,,,,,
PK-25,fazli ghafoor,Jamiat Ulama-e-Islam Pakistan,Book (31),12702,,,,,,,,
PK-25,muhammad haleem,Jamaat-e-Islami Pakistan,Scale (232),7364,,,,,,,,
PK-25,muhammad salim,Jamiat Ulama-e-Islam Pakistan,Ladder (161),61,,,,,,,,
PK-25,muhammad shahid,Mazloom Olsi Tehreek Pakistan,Pitcher (204),237,,,,,,,,
PK-26,Israr Ahmad,Jamiat Ulama-e-Islam Pakistan,Book (31),9176,,,,,,,,
PK-26,ANwar Ali,Independent,Clock (60),106,,,,,,,,
PK-26,Bakhtiar Ali,Pakistan tehreek-e-insaf parliamentarian (PTIP),Turban (305),2493,,,,,,,,
PK-26,Syed Fakhar Jehan,Independent - PTI,Charpai (56),26782,,,,,,,,
PK-26,Qaisar Wali Khan,Awami National Party,Lantern (162),12002,,,,,,,,
PK-26,Muhammad Suliman,Awami Workers Party,Bulb (40),1232,,,,,,,,
PK-26,nasir ali,Jamaat-e-Islami Pakistan,Scale (232),15216,,,,,,,,
PK-27,Javed Iqbal,Independent,Teapot (279),615,,,,,,,,
PK-27,Dilawar Khan,Pakistan muslim League (N),Tiger (284),5527,,,,,,,,
PK-27,Raj Wali Khan,Jamaat-e-Islami Pakistan,Scale (232),8140,,,,,,,,
PK-27,Sardar Hussain,Awami National Party,Lantern (162),15439,,,,,,,,
PK-27,Syed Ali Shah,Independent,Charpai (56),1165,,,,,,,,
PK-27,Syed Muhammad Shamsher,Pakistan Peoples Party Parliamentarians,Arrow (12),845,,,,,,,,
PK-27,Abdul Kabir Khan,Independent - PTI,Hand Pump (130),27821,,,,,,,,
PK-27,Ali Muhammad,Awami workers Party,Bulb (40),955,,,,,,,,
PK-27,Farooq Khan,Pakistan tehreek-e-insaf parliamentarian (PTIP),Turban (305),617,,,,,,,,
PK-27,Muhammad Ibrarullah,Jamiat Ulama-e-Islam Pakistan,Book (31),7757,,,,,,,,
PK-27,Muhammad Shahid,Independent,Clock (60),93,,,,,,,,
PK-28,Afsar Ul Mulk Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),9649,,,,,,,,
PK-28,Hafiz Naeem Ur Rehman,Independent,Tandoor (276),236,,,,,,,,
PK-28,Hamid Iqbal Khan,Independent,Bear (22),560,,,,,,,,
PK-28,Hanif Ulah,Independent,Bed (23),24,,,,,,,,
PK-28,Hayat Khan,Independent,Clock (60),63,,,,,,,,
PK-28,Khalid Mahmood,Pakistan tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),96,,,,,,,,
PK-28,Said Rahim,Barabri Party Pakistan,Pen (195),175,,,,,,,,
PK-28,Shakeel Ahmad,Tehreek-e-Inqilab Political Movement,Wrist Watch (330),302,,,,,,,,
PK-28,Shaukat Ali Son Of Muhammad Ali,Independent - PTI,Racket (214),11873,,,,,,,,
PK-28,Shawkat Ali Son Of Muzamen,Independent,Magnifying Glass (1 71),385,,,,,,,,
PK-28,Abbas Khan,Independent,Aeroplane (2),2487,,,,,,,,
PK-28,Abdul Hadi,Pashtoonkhwa Milli Awami Party,Tree (295),117,,,,,,,,
PK-28,Fawad Ahmad Khan,Independent,Dove (88),6,,,,,,,,
PK-28,Qasim Shah,Jamaat-e-Islami Pakistan,Scale (232),857,,,,,,,,
PK-28,Gulzar Khan,Independent,Peacock (194),22,,,,,,,,
PK-28,Liaqat Ali,Independent,Table Tennis Bat (273),56,,,,,,,,
PK-28,Mutawakil Khan,Awami National Party,Lantern (162),3871,,,,,,,,
PK-28,Muhammad Rashad Khan,Pakistan Muslim League (N),Tiger (284),17172,,,,,,,,
PK-29,Izhar Ullah Khan,Independent,Cricker Strumps (73),19,,,,,,,,
PK-29,Amani Mulk,Independent,Charpai (56),2371,,,,,,,,
PK-29,Jehan Ali,Independent,Teapot (279),4186,,,,,,,,
PK-29,Hasan Zeb,Independent,Stapler (258),96,,,,,,,,
PK-29,Sajjad Ahmad Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),96,,,,,,,,
PK-29,Shaukat Ali,Jamiat Ulama-e-Islam Pakistan,Book (31),13160,,,,,,,,
PK-29,Sher Alam Khan,Jamaat-e-Islami Pakistan,Scale (232),2765,,,,,,,,
PK-29,Zia Ur Rehman,Independent,Gas Cylinder (116),26,,,,,,,,
PK-29,Tahir Hussain,Independent,Round Table(227),153,,,,,,,,
PK-29,Zahoor ALi,Independent,Shuttle Cock (245),29,,,,,,,,
PK-29,Abdul Aleem,Independent,Clock (60),62,,,,,,,,
PK-29,Abdul Munim,Independent - PTI,Pomegranate (208),14255,,,,,,,,
PK-29,Faisal Zeb,Awami National Party,Lantern (162),7297,,,,,,,,
PK-29,Muhammad ALi Khan,Independent,Sickle (246),5688,,,,,,,,
PK-29,Murshid Alam,Independent,Brush (38),29,,,,,,,,
PK-29,Nasrullah Khan,Independent,Dove (88),308,,,,,,,,
PK-29,Nazar Muhammad,Pakistan Rah-e-Haq Party,Iron (147),45,,,,,,,,
PK-29,Nawaz Mehmood,Independent,Mic (174),30,,,,,,,,
PK-30,Afsar Ul Mulk Khan,Independent,Kettle (153),108,,,,,,,,
PK-30,Parviz Khan,Independent,Bed (23),34,,,,,,,,
PK-30,Jamal Ud Din,Jamiat Ulama-e-Islam Pakistan,Key (154),19,,,,,,,,
PK-30,Jawad Ali,Independent,Charpai (56),36,,,,,,,,
PK-30,Hamid Iqbal Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),5575,,,,,,,,
PK-30,Zaid Ullah,Independent,Computer (67),50,,,,,,,,
PK-30,Said Ul Alam,Independent,Dove (88),26,,,,,,,,
PK-30,Saif Ud Din,Independent,Stethoscope (260),40,,,,,,,,
PK-30,Shah Farooq,Awami National Party,Lantern (162),5969,,,,,,,,
PK-30,Sadr Ur Rehman,Independent - PTI,Clock (60),13863,,,,,,,,
PK-30,Ibad Ullah Khan,Pakistan Muslim League (N),Tiger (284),14221,,,,,,,,
PK-30,Irfan Ali,Independent,Still Camera (261),37,,,,,,,,
PK-30,Kamran ALi,Independent,Door (87),15,,,,,,,,
PK-30,Gulzar Khan,Independent,Table (271),10,,,,,,,,
PK-30,Muhammad Zafar,Independent,Printer (210),40,,,,,,,,
PK-30,Muhammad Ali Khan,Independent,Sickle (246),1099,,,,,,,,
PK-30,Musharaf Shah,Independent,Teapot (279),385,,,,,,,,
PK-30,Nadia Sher,Pakistan tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),33,,,,,,,,
PK-30,Nawaz Mehmood,Independent,Peacock (194),32,,,,,,,,
PK-30,Noor Ullah Khan,Jamaat-e-Islami Pakistan,Scale (232),2489,,,,,,,,
PK-31,Ahsan ul haq wald Sher Muhammad,Independent,Bed (23),31,,,,,,,,
PK-31,Ahsan ul haq Wald Lal Khan,Independent,Laptop (163),55,,,,,,,,
PK-31,Ahsan ul haq wald Malik Sikandar Khan,Independent,Peacock (194),1375,,,,,,,,
PK-31,Afreen Khan,Pakistan tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),2329,,,,,,,,
PK-31,Afzal Shah,Independent,Study Table with Chair (263),4710,,,,,,,,
PK-31,Taj Muhammad Shaheen,Qaumi Watan Party,Chiragh (Lamp) (58),726,,,,,,,,
PK-31,Tehmeena Faheem,Independent - PTI,Queen (211),188,,,,,,,,
PK-31,Hameed Ul Haq,Independent,Table (271),33,,,,,,,,
PK-31,Khan Zeb,Independent,Kettle (153),1,,,,,,,,
PK-31,Rahmat Nabi,Pakistan Peoples Party Parliamentarians,Arrow (12),447,,,,,,,,
PK-31,Zardar Khan,Awami National Party,Lantern (162),32,,,,,,,,
PK-31,Stambar Khan,Independent,Charpai (56),9185,,,,,,,,
PK-31,Siraj Ud Din,Jamaat-e-Islami Pakistan,Scale (232),242,,,,,,,,
PK-31,Sami ul haq,Independent,Bench (246),223,,,,,,,,
PK-31,Said Khan,Independent,Sickle (246),8,,,,,,,,
PK-31,Sher bahadur,Independent,Sofa (249),6,,,,,,,,
PK-31,Sabir Khan,Independent,Goat (123),1,,,,,,,,
PK-31,Abdul Aziz,Independent,Pomegranate (208),16,,,,,,,,
PK-31,Abdul Mateen,Tehreek-e-Tahafuz Party,Revolver (218),1,,,,,,,,
PK-31,Abdul Wahid,Independent,Clock (60),23,,,,,,,,
PK-31,Fazl Haq,Independent,Lotus (168),14384,,,,,,,,
PK-31,Fazl Rehman,Independent,Sheep (241),1,,,,,,,,
PK-31,Mubarik Shah Wald Aurang malik,Independent,Bottle (32),5,,,,,,,,
PK-31,Mubarik Shah Wald Nosher,Independent,Suitcase (264),16,,,,,,,,
PK-31,Mehboob ur rehman,Jamiat Ulama-e-Islam Pakistan,Book (31),3456,,,,,,,,
PK-31,Muhammad Iqbal,Independent,Aeroplane (2),14,,,,,,,,
PK-31,Muhammad Deedar,Independent,Bowl (34),55,,,,,,,,
PK-31,Muhammad Wali,Independent,Parrot (193),7,,,,,,,,
PK-31,Muneeb Ullah,Independent,Water cooler (317),5,,,,,,,,
PK-31,Meerza khan,Independent,Dove (88),2,,,,,,,,
PK-31,Nosher Khan,Independent,Hen (135),13,,,,,,,,
PK-31,Hidayat Shah,Independent,Tower (291),4,,,,,,,,
PK-32,Asif Khan,independent,Pomegranate (208),31,,,,,,,,
PK-32,Juma DIn,Jamhoori Wattan Party,Wheel (323),17,,,,,,,,
PK-32,Khan Member,Independent,Bowl (34),12496,,,,,,,,
PK-32,Sajjad Ullah,Jamiat Ulama-e-Islam Pakistan,Book (31),13826,,,,,,,,
PK-32,Saran Zib khan,Awami National Party,Lantern (162),814,,,,,,,,
PK-32,Sher Muhammad Khan,Independent,Dove (88),415,,,,,,,,
PK-32,Zia Ur Rehman,Independent,Round Table(227),18,,,,,,,,
PK-32,Abdul Aziz khan,Independent,Clock (60),70,,,,,,,,
PK-32,Abdul wahab khan,Muttahida Qomi Movement Pakistan,Kite (159),18,,,,,,,,
PK-32,Azeem khan,Independent,Peacock (194),2,,,,,,,,
PK-32,amal khan,Independent,Sheep (241),148,,,,,,,,
PK-32,Fasih ur rahman,Independent,Suitcase (264),43,,,,,,,,
PK-32,fazal ur rahman,Independent,Charpai (56),10,,,,,,,,
PK-32,kifayat ullah,Independent - PTI,Key chain (155),2149,,,,,,,,
PK-32,gul faraz,Independent,Slate (248),149,,,,,,,,
PK-32,gul nawaz khan,Jamaat-e-Islami Pakistan,Scale (232),943,,,,,,,,
PK-32,Mashooq ur rehman,Pakistan Peoples Party Parliamentarians,Arrow (12),688,,,,,,,,
PK-32,Malak Aurangzeb,Pakistan tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),9376,,,,,,,,
PK-32,Noor Dad,Independent,Bed (23),4,,,,,,,,
PK-32,Yar Dad,Independent,Study Table with Chair (263),0,,,,,,,,
PK-33,Jamal Deen,Independent,Charpai (56),6357,,,,,,,,
PK-33,Chalo khan,Independent,Bear (22),19,,,,,,,,
PK-33,Sannaya Sabeel,Independent,Pressure Cooker (209),8,,,,,,,,
PK-33,Shams Ur Rehman,Independent,Lotus (168),182,,,,,,,,
PK-33,Sher Baz,Independent,Teapot (279),5,,,,,,,,
PK-33,Abdul Haleem,Independent,Laptop (163),14,,,,,,,,
PK-33,Abdur Rasheed,Independent,Clock (60),27,,,,,,,,
PK-33,Mujrab Khan,Independent,Table (271),69,,,,,,,,
PK-33,Muhammad Riaz,Independent,Sickle (246),7118,,,,,,,,
PK-33,Muhammad Asmat Ullah,Jamiat Ulama-e-Islam Pakistan,Book (31),4951,,,,,,,,
PK-33,Mufti Ubaid Ur Rehman,Pakistan tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),420,,,,,,,,
PK-33,Momina Basit,Independent - PTI,Dove (88),161,,,,,,,,
PK-33,Mian Sher,Independent,Bed (23),32,,,,,,,,
PK-33,Nazeer Ahmad,Independent,Bowl (34),24,,,,,,,,
PK-34,Zubair Khan,Independent - PTI,wheel chair (325),13501,,,,,,,,
PK-34,Shah Hussain khan,Jamiat Ulama-e-Islam Pakistan,Book (31),11628,,,,,,,,
PK-34,Sher Alam,Pakistan Rah-e-Haq Party,iron (147),1888,,,,,,,,
PK-34,Adil Nawaz khan,Pakistan muslim League (N),Tiger (284),1648,,,,,,,,
PK-34,Ajab Khan Deeshani,Independent,Aeroplane (2),57,,,,,,,,
PK-34,Muhammad Arshad khan,Awami National Party,Lantern (162),554,,,,,,,,
PK-34,Muhammad Naeem khan,Tehreek-e-Inqilab Political Movement,Wrist Watch (330),11315,,,,,,,,
PK-34,Niaz muhammad khan,Independent,Match box (172),238,,,,,,,,
PK-35,Taj Muhammad,Independent - PTI,Clock (60),24142,,,,,,,,
PK-35,Khyal Muhammad,Independent,Teapot (279),82,,,,,,,,
PK-35,Saeed Ullah,Awami Democratic Party Pakistan,Oil tanker (185),146,,,,,,,,
PK-35,Syed Mutabar Shah,Independent,Swallow (267),290,,,,,,,,
PK-35,Abdul Mateen,Independent,Aeroplane (2),104,,,,,,,,
PK-35,Ghulam Ullah,Independent,Laptop (163),413,,,,,,,,
PK-35,Muhammad Saleem Malik,Pakistan Peoples Party Parliamentarians,Arrow (12),4307,,,,,,,,
PK-35,Muhammad Sadique,Awami National Party,Lantern (162),651,,,,,,,,
PK-35,Mati Ur rehman,Independent,Match Box (1 72),705,,,,,,,,
PK-35,Niaz Muhammad,Independent,Sheep (241),1243,,,,,,,,
PK-35,Wali Muhammad Khan,Jamiat Ulama-e-Islam Pakistan,Book (31),17340,,,,,,,,
PK-36,Ramiz Younas,Pakistan Rah-e-Haq Party,Iron (147),0,,,,,,,,
PK-36,Syed Ahmad hussain Shah S/o syed Muzammil Shah,Pakistan tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),12116,,,,,,,,
PK-36,Syed Ahmad hussain Shah S/o syed Muzammil Shah (RTD),Independent,Bottle (32),0,,,,,,,,
PK-36,Syed Junaid Ali Qasim,Pakistan Muslim League (N),Tiger (284),20414,,,,,,,,
PK-36,Saima Bibi,Jamiat Ulama-e-Islam Pakistan,Book (31),1180,,,,,,,,
PK-36,Muhammad Shoaib Ahmed,Jamiat Ulama-e-Islam Pakistan,Ladder (161),428,,,,,,,,
PK-36,Muhammad Sadiq,Pakistan Markazi muslim league,Chair (55),608,,,,,,,,
PK-36,Muhammad Nawaz Yaseen,Tehreek Labbaik Pakistan,Crane (71),1190,,,,,,,,
PK-36,Masab Umair,Jamaat-e-Islami Pakistan,Scale (232),1609,,,,,,,,
PK-36,Munir Hussain,Independent - PTI,Sickle (246),35074,,,,,,,,
PK-36,Mian Zia Ur Rehman,Independent,Charpai (56),27118,,,,,,,,
PK-36,Nazim Hussain,Pakistan Nazriyati Party,Railway Engine (216),155,,,,,,,,
PK-37,Ahmad Nawaz,Independent,Aeroplane (2),98,,,,,,,,
PK-37,Babar Saleem Swati,Independent - PTI,Tap (277),35213,,,,,,,,
PK-37,Tazeem Bibi,Tehreek Labbaik Pakistan,Crane (71),1871,,,,,,,,
PK-37,javed Khan,Independent,Kettle (153),60,,,,,,,,
PK-37,Jamil Ahmed,Jamaat-e-Islami Pakistan,Scale (232),3236,,,,,,,,
PK-37,Rustam Khan,Pakistan Nazriyati Party,Railway Engine (216),105,,,,,,,,
PK-37,Ruqayya,Pakistan Markazi muslim league,Chair (55),54,,,,,,,,
PK-37,Zahoor Ahmed,Pakistan Muslim League (N),Tiger (284),20950,,,,,,,,
PK-37,Arif Amin,Amun Taraqqi Party,Tyre (309),175,,,,,,,,
PK-37,Asim Mehmood,Independent,Charpai (56),937,,,,,,,,
PK-37,Abdul Ghafoor,Independent,Peacock (194),83,,,,,,,,
PK-37,Fazal Haq,Independent,Dove (88),585,,,,,,,,
PK-37,Faisal,Muttahida Qomi Movement Pakistan,Kite (159),193,,,,,,,,
PK-37,Nasir Mehmood,Jamiat Ulama-e-Islam Pakistan,Book (31),4105,,,,,,,,
Pk-38,Ahmad Khan,Jamaat-e-Islami Pakistan,Scale (232),3090,,,,,,,,
Pk-38,Amjad,Hazara Qaumi Mahaz Pakistan,Butterfly (44),675,,,,,,,,
Pk-38,Amjad Saleem Urf Amjad Salar,Tehreek Jawanan Pakistan,Sun flowe (266),838,,,,,,,,
Pk-38,Haq Nawaz,Pakistan Peoples Party Parliamentarians,Arrow (12),2255,,,,,,,,
Pk-38,Khani Zaman Khan,Jamiat Ulama-e-Islam Pakistan,Takhti (274),466,,,,,,,,
Pk-38,Zulfigar Ahmed Khan,Independent,Lotus (168),198,,,,,,,,
Pk-38,Zahid Chanzeb,Independent - PTI,Laptop (163),38804,,,,,,,,
Pk-38,Sajid Hussain Tanoli,Independent,hand Pump (130),74,,,,,,,,
Pk-38,Shahid Rafigue,Independent,Dove (88),69,,,,,,,,
Pk-38,Zafar Mehmood,Independent,Charpai (56),1585,,,,,,,,
Pk-38,Aamir Khan,Tehreek Labbaik Pakistan,Crane (71),1839,,,,,,,,
Pk-38,Inyat Ur Rehman,Independent,Aeroplane (2),739,,,,,,,,
Pk-38,Fahad Habib Tanoli,Jamiat Ulama-e-Islam Pakistan,Book (31),13959,,,,,,,,
Pk-38,Muhammad Naeem,Pakistan Muslim League (N),Tiger (284),26601,,,,,,,,
Pk-38,Muhammad Maroon,Independent,Sheep (241),770,,,,,,,,
PK-39,Ibrar Hussain,Jamiat Ulama-e-Islam Pakistan,Book (31),16823,,,,,,,,
PK-39,Ajmal Khan,Independent,Cricket Strumps (73),99,,,,,,,,
PK-39,Ahmed Shervar Khan,Independent,Charpai (56),14286,,,,,,,,
PK-39,Ikram Ullah,Independent - PTI,Spoon (255),23853,,,,,,,,
PK-39,Habib Ur Rehman,Independent,bench (246),216,,,,,,,,
PK-39,Sajida Tabassum,Pakistan Peoples Party Parliamentarians,Arrow (12),467,,,,,,,,
PK-39,Fakhar Uz Zaman Khan,Independent,Teapot (279),0,,,,,,,,
PK-39,Fahad Uz Zaman Khan,Independent,Round Table(227),1,,,,,,,,
PK-39,Kaleem Anwar,Pakistan Markazi muslim league,Chair (55),166,,,,,,,,
PK-39,Laiq Muhammad Khan,Independent,Bear (22),777,,,,,,,,
PK-39,Muhammad Saqib,Independent,Laptop (163),919,,,,,,,,
PK-39,Muhammad Siddique,Jamaat-e-Islami Pakistan,Scale (232),1896,,,,,,,,
PK-39,Muhammad Arif,Pakistan Muslim League (N),Tiger (284),19331,,,,,,,,
PK-39,Nawabzada Farid Salahuddin,Independent,Aeroplane (2),4052,,,,,,,,
PK-40,Sardar Shahjehan Yousaf,Pakistan Muslim League (N),Tiger (284),44012,,,,,,,,
PK-40,Sardar Waqar Ul Mulk,Jamiat Ulama-e-Islam Pakistan,Book (31),5925,,,,,,,,
PK-40,Sadia Matloob,Pakistan Markazi muslim league,Chair (55),74,,,,,,,,
PK-40,Syed Aftab Hussain Kazmi,Independent,Cricket Strumps (73),4638,,,,,,,,
PK-40,Shaheen Zamir,Awami National Party,Lantern (162),642,,,,,,,,
PK-40,Saleh Muhammad,Pakistan tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),328,,,,,,,,
PK-40,Zareed,Tehreek Labbaik Pakistan,Crane (71),1182,,,,,,,,
PK-40,Abdul Shakoor Khan,Independent - PTI,Dove (88),43680,,,,,,,,
PK-40,Ghulam Nabi,Independent,Charpai (56),202,,,,,,,,
PK-41,Ahmed Sheryar Khan,Independent,Laptop (163),310,,,,,,,,
PK-41,Zareen Gul,Awami National Party,Lantern (162),9469,,,,,,,,
PK-41,Syed Laiq Aziz Shah,Independent,Charpai (56),4188,,,,,,,,
PK-41,Shakeela Rabbani,Independent - PTI,Spoon (255),356,,,,,,,,
PK-41,Farman Ullah,Jamaat-e-Islami Pakistan,Scale (232),2503,,,,,,,,
PK-41,Laiq Muhammad Khan,Independent,Aeroplane (2),11059,,,,,,,,
PK-41,Muhammad lqbal Khan,Jamiat Ulama-e-Islam Pakistan,Book (31),8037,,,,,,,,
PK-42,Ahmed Nawaz Khan Jadoon,Qaumi Watan Party,Chiragh (Lamp) (58),1761,,,,,,,,
PK-42,Basirat Arbab Abbasi,Jamiat Ulama-e-Islam Pakistan,Book (31),1318,,,,,,,,
PK-42,Sajid Khan,Independent,Aeroplane (2),2330,,,,,,,,
PK-42,Sardar Fareed Ahmed Khan,Pakistan muslim League (N),Tiger (284),27623,,,,,,,,
PK-42,Syed Jaffar Shah,Pakistan Peoples Party Parliamentarians,Arrow (12),8851,,,,,,,,
PK-42,Syed Fahim Hussain Shah,Independent,Green Chilli (126),305,,,,,,,,
PK-42,Shabbir Ahmed,Independent,Pomegranate (208),246,,,,,,,,
PK-42,Abdullah,Pakistan Rah-e-Haq Party,Iron (147),6654,,,,,,,,
PK-42,Ubaid Ur Rahman Abbasi,Jamaat-e-Islami Pakistan,Scale (232),6328,,,,,,,,
PK-42,Ghuzanfar Ali Abbasi,Independent,Clock (60),5447,,,,,,,,
PK-42,Fasieh Tajammal,Independent,Pineapple (203),45,,,,,,,,
PK-42,Mohsin Javed,Independent,Racket (214),83,,,,,,,,
PK-42,Muhammad Alcram Abbasi,Independent,Bear (22),529,,,,,,,,
PK-42,Muhammad Wadood,Pakistan Nazriyati Party,Railway Engine (216),328,,,,,,,,
PK-42,Nazir Ahmed Abbasi,Independent - PTI,Peacock (194),35443,,,,,,,,
PK-42,Wajid Abbasi,Tehreek Labbaik Pakistan,Crane (71),2916,,,,,,,,
PK-43,Bibi Shahnaz Raja,Awami National Party,Lantern (162),19,,,,,,,,
PK-43,Jamshaid Ahmed,Jamiat Ulama-e-Islam Pakistan,Book (31),1076,,,,,,,,
PK-43,Khalid Rehman,Pakistan muslim League (N),Tiger (284),20733,,,,,,,,
PK-43,ZulfiqarJaved Abbasi,Independent,Study Table with Chair (263),201,,,,,,,,
PK-43,Rajab Ali Khan Abbasi,Independent - PTI,Sickle (246),41242,,,,,,,,
PK-43,Sardar Ibrar Khan,Independent,Bowl (34),1777,,,,,,,,
PK-43,Sardar Shabir Ahmed (RTD),Independent,Teapot (279),452,,,,,,,,
PK-43,Shahzad Gul,Independent,Charpai (56),11355,,,,,,,,
PK-43,Sher Bahadar Khan,Pakistan tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),58,,,,,,,,
PK-43,Zafar lqbal Abbasi,Tehreek Labbaik Pakistan,Crane (71),2471,,,,,,,,
PK-43,Abdul Razaq Abbasi,Jamaat-e-Islami Pakistan,Scale (232),9622,,,,,,,,
PK-43,Ateeq Ur Rehman,Independent,Pomegranate (208),4134,,,,,,,,
PK-43,Adnan Naseem Abbasi,Independent,Lotus (168),72,,,,,,,,
PK-43,Fazal Ur Rehman,Independent,Laptop (163),139,,,,,,,,
PK-43,Goga Khan Jadoon,Pakistan Peoples Party Parliamentarians,Arrow (12),1279,,,,,,,,
PK-43,Mubashir Lateef Abbasi,Independent,Air conditioner (3),44,,,,,,,,
